book;part;head;auth;Prob_1;Prob_2;text
1;1;1;Sholokhov;0.40764963926398257;0.5923503607360174;Мелеховский двор — на самом краю хутора. Воротца с
1;1;2;NOT Sholokhov;0.5248169405273434;0.4751830594726566;Редкие в пепельном рассветном небе зыбились звезды
1;1;3;Sholokhov;0.41992919516281035;0.5800708048371896;Григорий пришел с игрищ после первых кочетов. Из с
1;1;4;NOT Sholokhov;0.6056180943227636;0.39438190567723647;К вечеру собралась гроза. Над хутором стала бурая 
1;1;5;NOT Sholokhov;0.6130260011700215;0.38697399882997857;До хутора Сетракова — места лагерного сбора — шест
1;1;6;Sholokhov;0.4296018718943556;0.5703981281056444;Возле лобастого, с желтой песчаной лысиной кургана
1;1;7;NOT Sholokhov;0.7249041761537626;0.27509582384623743;Аксинью выдали за Степана семнадцати лет. Взяли ее
1;1;8;Sholokhov;0.4195666312578008;0.5804333687421992;За два дня до троицы хуторские делили луг. На деле
1;1;9;NOT Sholokhov;0.5291419428495908;0.4708580571504092;От троицы только и осталось по хуторским дворам: с
1;1;10;NOT Sholokhov;0.5413463059437418;0.45865369405625817;Не лазоревым алым цветом, а собачьей бесилой, дурн
1;1;11;NOT Sholokhov;0.6267465311837371;0.37325346881626287;За хутором Сетраковым в степи рядами вытянулись по
1;1;12;NOT Sholokhov;0.6172758565439611;0.38272414345603883;Оставалось полторы недели до прихода казаков из ла
1;1;13;NOT Sholokhov;0.5158024546156306;0.4841975453843695;С того дня, как приезжала баба Томилина, подурнел 
1;1;14;NOT Sholokhov;0.5322789502658307;0.46772104973416934;— …Тоскую по нем, родная бабунюшка. На своих глазы
1;1;15;Sholokhov;0.3867214525322821;0.6132785474677179;— Петру скажи, чтобы запрягал кобылу и своего коня
1;1;16;NOT Sholokhov;0.6770654623636914;0.32293453763630864;Только после того как узнал от Томилина про Аксинь
1;1;17;Sholokhov;0.458353765066582;0.541646234933418;За житом — не успели еще свозить на гумна — подошл
1;1;18;NOT Sholokhov;0.5832187062898604;0.41678129371013967;Коршуновы слыли первыми богачами в хуторе Татарско
1;1;19;NOT Sholokhov;0.5114759169576792;0.4885240830423207;В коршуновском курене предсвадебная суета. Невесте
1;1;20;NOT Sholokhov;0.7088568586733845;0.2911431413266155;"Всходит остролистая зеленая пшеница, растет; через"
1;1;21;NOT Sholokhov;0.5820435025894855;0.4179564974105145;За невестой в поезжанье нарядили четыре пароконные
1;1;22;NOT Sholokhov;0.5962677348611569;0.403732265138843;Отдохнувшие у Коршуновых лошади шли, добираясь до 
1;1;23;NOT Sholokhov;0.5749521655311476;0.42504783446885236;Коршуновы приехали уже после того, как жениха с не
1;2;2;NOT Sholokhov;0.9293324221081889;0.0706675778918111;Сергей Платонович Мохов издалека ведет свою родосл
1;2;3;NOT Sholokhov;0.5583779243359644;0.44162207566403555;В конце августа Митька Коршунов случайно встретилс
1;2;4;NOT Sholokhov;0.7217816177849634;0.2782183822150366;Наталья пришлась Мелеховым ко двору. Мирон Григорь
1;2;5;NOT Sholokhov;0.5433575626561706;0.4566424373438293;В конце октября, в воскресенье, — поехал Федот Бод
1;2;6;Sholokhov;0.417638825128833;0.582361174871167;Григорий с женой выехали пахать за три дня до покр
1;2;7;NOT Sholokhov;0.6745687674014926;0.3254312325985074;С давних пор велось так: если по дороге на Миллеро
1;2;8;Sholokhov;0.48095774073916;0.51904225926084;Зима легла не сразу. После покрова стаял выпавший 
1;2;9;Sholokhov;0.486364324175691;0.513635675824309;Пантелей Прокофьевич вернулся со схода и прямо про
1;2;10;NOT Sholokhov;0.7289571986532313;0.27104280134676867;Вечером у косой Лукешки в половине Штокмана собира
1;2;12;NOT Sholokhov;0.6292767016350256;0.3707232983649745;На пологом песчаном левобережье, над Доном, лежит 
1;2;13;NOT Sholokhov;0.7702358257095747;0.2297641742904253;Наутро Григорий отправился к Мохову в дом. Сергей 
1;2;14;Sholokhov;0.309803219115398;0.690196780884602;Аксинья отстряпалась рано, загребла жар, закутала 
1;2;15;Sholokhov;0.3421373582207148;0.6578626417792852;Беда в одиночку сроду не ходит: утром, по недогляд
1;2;16;NOT Sholokhov;0.6833907603305784;0.3166092396694216;Сотник Евгений Листницкий служил в лейб-гвардии Ат
1;2;17;NOT Sholokhov;0.5566400116465553;0.44335998835344465;На четвертой неделе поста сдала зима. На Дону бахр
1;2;18;NOT Sholokhov;0.6370262064767213;0.36297379352327874;У Штокмана стали собираться реже. Подходила весна.
1;2;19;Sholokhov;0.4770823749224433;0.5229176250775567;Григорий вернулся из Миллерова, куда отвозил Евген
1;2;20;NOT Sholokhov;0.7331517601038842;0.2668482398961159;У соседки Коршуновых Пелагеи в ночь под субботу на
1;2;21;Sholokhov;0.47032472330687924;0.5296752766931208;Степан подошел к Григорию и, ухватившись за стремя
1;2;22;NOT Sholokhov;0.6378373649742741;0.3621626350257259;На шестом месяце, когда скрывать беременность было
1;2;23;NOT Sholokhov;0.7208927543544363;0.27910724564556366;К просторному суходолу наростом прилипло имение Ли
1;3;1;NOT Sholokhov;0.7582488260408023;0.24175117395919768;В марте 1914 года в ростепельный веселый день приш
1;3;2;NOT Sholokhov;0.7200668435597894;0.2799331564402106;Где-то позади, в сером слизистом тумане осталась д
1;3;3;NOT Sholokhov;0.5286108642943975;0.4713891357056025;Над степью — желтый солнечный зной. Желтой пылью д
1;3;4;Sholokhov;0.49567408479392905;0.504325915206071;На площади серая густела толпа. В рядах — лошади, 
1;3;5;NOT Sholokhov;0.7838443703155717;0.21615562968442825;В последних числах июня полк выступил на маневры. 
1;3;6;NOT Sholokhov;0.691026882329832;0.30897311767016805;Казаки-второочередники с хутора Татарского и окрес
1;3;7;NOT Sholokhov;0.7393934835481646;0.26060651645183547;Обычно из верховских станиц Донецкого округа — Ела
1;3;8;NOT Sholokhov;0.7098525663564867;0.2901474336435133;В местечке Торжок полк разбили по сотням. Шестая с
1;3;9;NOT Sholokhov;0.9036468672823428;0.09635313271765727;Из этого после сделали подвиг. Крючков, любимец ко
1;3;10;NOT Sholokhov;0.7815248605366989;0.21847513946330105;Фронт еще не улегся многоверстной неподатливой гад
1;3;11;NOT Sholokhov;0.9769300277198427;0.023069972280157315;Небольшая в сафьяновом, цвета под дуб, переплете з
1;3;12;NOT Sholokhov;0.6328415106628937;0.36715848933710626;11-я кавалерийская дивизия после занятия Лешнюва с
1;3;13;NOT Sholokhov;0.7797734656378329;0.22022653436216713;Операция по захвату города началась рано утром. Пе
1;3;14;NOT Sholokhov;0.9167279728147861;0.08327202718521384;В первых числах августа сотник Евгений Листницкий 
1;3;15;NOT Sholokhov;0.8985424429922466;0.10145755700775343;Дивизия получила задание форсировать реку Стырь и 
1;3;16;NOT Sholokhov;0.8325810011474482;0.16741899885255185;Вместе со второй очередью ушла и третья. Станицы, 
1;3;17;NOT Sholokhov;0.7633151474147684;0.23668485258523164;Мелеховы на двенадцатый день после известия о смер
1;3;18;NOT Sholokhov;0.694224663163961;0.305775336836039;Выметываясь из русла, разбивается жизнь на множест
1;3;19;NOT Sholokhov;0.8566581727563607;0.14334182724363936;Война и из Ягодного повыдергала людей. Ушли Вениам
1;3;20;NOT Sholokhov;0.6373388183760363;0.36266118162396366;Ярко, до слепящей боли, вспомнилась Григорию та но
1;3;21;NOT Sholokhov;0.8460982496476476;0.15390175035235243;Вагон мягко покачивает, перестук колес убаюкивающе
1;3;22;NOT Sholokhov;0.915983448868159;0.08401655113184107;На Юго-Западном фронте в районе Шевеля командовани
1;3;23;NOT Sholokhov;0.7812541000736821;0.21874589992631785;К глазной лечебнице доктора Снегирева примыкал мал
1;3;24;NOT Sholokhov;0.6065294742642175;0.3934705257357825;В ночь на 4 ноября Григорий Мелехов пришел в Нижне
2;1;1;NOT Sholokhov;0.875472563051436;0.1245274369485641;Тысяча девятьсот шестнадцатый год. Октябрь. Ночь. 
2;2;2;NOT Sholokhov;0.9331611723960698;0.06683882760393024;На другой день утром смущенный вахмистр вошел в зе
2;3;3;NOT Sholokhov;0.8988301858878335;0.10116981411216655;На Владимиро-Волынском и Ковельском направлениях, 
2;4;4;NOT Sholokhov;0.7562490363921216;0.24375096360787837;Верст на сорок ниже по Стоходу шли бои. Две недели
2;5;5;NOT Sholokhov;0.6151166498670562;0.3848833501329438;Сбочь хутора Татарского, по небу, изморщенному сед
2;6;6;NOT Sholokhov;0.7645184397272753;0.23548156027272465;В ноябре в обним жали морозы. Ранний перепадал сне
2;7;7;NOT Sholokhov;0.8790906278076284;0.12090937219237165;Маленькими смуглыми руками, покрытыми редким глянц
2;8;8;NOT Sholokhov;0.8098951819971906;0.1901048180028094;Первую бригаду одной из пехотных дивизий, находивш
2;9;9;NOT Sholokhov;0.8477878700389446;0.15221212996105538;Через сутки полк был уже неподалеку от фронта. На 
2;10;10;NOT Sholokhov;0.9316937298223978;0.06830627017760212;По возвращении из отпуска есаул Евгений Листницкий
2;11;11;NOT Sholokhov;0.9584802276318014;0.04151977236819855;Назначение генерала Корнилова главнокомандующим Юг
2;12;12;NOT Sholokhov;0.8385781617004091;0.1614218382995909;В сотне Листницкого был казак Букановской станицы 
2;13;13;NOT Sholokhov;0.9448394381969563;0.055160561803043774;6 августа начальник штаба верховного главнокоманду
2;14;14;NOT Sholokhov;0.9523164121075887;0.04768358789241137;За день до приезда Корнилова в Москву есаул Листни
2;15;15;NOT Sholokhov;0.9428523143256355;0.05714768567436445;В версте от развалин местечка, стертого орудийным 
2;16;16;NOT Sholokhov;0.8681998516337882;0.13180014836621182;Уже 29 августа из телеграмм, получаемых от Крымова
2;17;17;NOT Sholokhov;0.919672036973405;0.08032796302659495;Кинутые на Петроград части 3-го конного корпуса и 
2;18;18;NOT Sholokhov;0.889620560566495;0.11037943943350507;31 августа в Петрограде застрелился вызванный туда
2;19;19;NOT Sholokhov;0.7605803167268185;0.2394196832731815;В последних числах октября, рано утром, есаул Лист
2;20;20;NOT Sholokhov;0.9227125610711127;0.07728743892888733;Теплилась осень. Перепадали дожди. Над Быховом ред
2;21;21;NOT Sholokhov;0.7928351231941979;0.20716487680580203;Полк отступал вторые сутки. Медленно, с боями, но 
2;22;22;NOT Sholokhov;0.6355357236643957;0.36446427633560435;Полая вода только что начала сбывать. На лугу, око
2;23;23;NOT Sholokhov;0.7903733231721837;0.20962667682781636;После ухода Кошевого казаки сидели некоторое время
2;24;24;NOT Sholokhov;0.7976447673775966;0.20235523262240343;В Каргинскую приехали перед вечером. В станице уже
2;25;25;NOT Sholokhov;0.6371224232124679;0.36287757678753213;Номерным у Бунчука был казак с хутора Татарского М
2;26;26;NOT Sholokhov;0.8313992945438184;0.16860070545618155;Эти дни он жил, как в тифозном бреду. Ходил, делал
2;27;27;NOT Sholokhov;0.5653507607246793;0.4346492392753208;Несколько дней экспедиция шла в глубь Донецкого ок
2;28;28;NOT Sholokhov;0.7904397466494163;0.20956025335058373;На западе густели тучи. Темнело. Где-то далеко-дал
2;29;29;NOT Sholokhov;0.6197145019743698;0.38028549802563016;В ночь эту, обрызганную молочным светом бледно-жел
2;30;30;NOT Sholokhov;0.6891573468916781;0.31084265310832193;Отряд татарских казаков под командой хорунжего Пет
2;31;31;NOT Sholokhov;0.6445280150842148;0.3554719849157852;Мишка Кошевой и Валет только на вторую ночь вышли 
3;1;1;NOT Sholokhov;0.7560302553529125;0.24396974464708757;"Как ты, батюшка, славный тихий Дон,
Ты кормилец на"
3;2;2;NOT Sholokhov;0.6813593350910516;0.3186406649089483;С Дона через Украину катились красные составы ваго
3;3;3;NOT Sholokhov;0.6377910568394496;0.36220894316055047;Неделю отдыхал Мишка, целые дни проводя в седле. С
3;4;4;NOT Sholokhov;0.974986523860871;0.025013476139128993;15 мая атаман Всевеликого войска Донского Краснов,
3;5;5;NOT Sholokhov;0.9260801787347954;0.07391982126520455;Во время ледяного похода 60 Евгений Листницкий был
3;6;6;NOT Sholokhov;0.6706422777715112;0.3293577222284888;Вызрел ковыль. Степь на многие версты оделась колы
3;7;7;NOT Sholokhov;0.7824855493407693;0.21751445065923067;По линии Филоново — Поворино выравнивался фронт. К
3;8;8;NOT Sholokhov;0.6338063239366012;0.36619367606339887;Неподалеку от станицы Дурновской Вешенский полк в 
3;9;9;NOT Sholokhov;0.6127259441637902;0.3872740558362097;И после, когда полк вступил в полосу непрерывных б
