name;short_text;prob2_0
b1_p1_h1;Мелеховский двор — на самом краю хутора. Воротца со скотиньего база ведут на север к Дону. Крутой восьмисаженный спуск меж замшелых в прозелени меловы;0.00011729594201243581
b1_p1_h2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;9.09783188342583e-05
b1_p1_h3;"Григорий пришел с игрищ после первых кочетов. Из сенцев пахнуло на него запахом перекисших хмелин и пряной сухменью богородицыной травки.
На цыпочках ";0.00022373943636983266
b1_p1_h4;К вечеру собралась гроза. Над хутором стала бурая туча. Дон, взлохмаченный ветром, кидал на берега гребнистые частые волны. За левадами палила небо су;0.000321188933067429
b1_p1_h5;До хутора Сетракова — места лагерного сбора — шестьдесят верст. Петро Мелехов и Астахов Степан ехали на одной бричке. С ними еще трое казаков-хуторян:;0.005430510608360468
b1_p1_h6;"Возле лобастого, с желтой песчаной лысиной кургана остановились ночевать.
С запада шла туча. С черного ее крыла сочился дождь. Поили коней в пруду. На";0.003228999427173296
b1_p1_h7;"Аксинью выдали за Степана семнадцати лет. Взяли ее с хутора Дубровки, с той стороны Дона, с песков.
За год до выдачи осенью пахала она в степи, верст ";0.00019116258582854348
b1_p1_h8;За два дня до троицы хуторские делили луг. На дележ ходил Пантелей Прокофьевич. Пришел оттуда в обед, кряхтя скинул чирики и, смачно почесывая натруже;0.0014495773726298582
b1_p1_h9;От троицы только и осталось по хуторским дворам: сухой чабрец, рассыпанный на полах, пыль мятых листьев да морщиненная, отжившая зелень срубленных дуб;0.00017026286517260285
b1_p1_h10;"Не лазоревым алым цветом 10, а собачьей бесилой, дурнопьяном придорожным цветет поздняя бабья любовь.
С лугового покоса переродилась Аксинья. Будто кт";0.0006756333407427275
b1_p1_h11;За хутором Сетраковым в степи рядами вытянулись повозки с брезентовыми будками. Невидимо быстро вырос городок, белокрыший и аккуратный, с прямыми улоч;0.0019089745038348646
b1_p1_h12;"Оставалось полторы недели до прихода казаков из лагерей.
Аксинья неистовствовала в поздней горькой своей любви. Несмотря на угрозы отца, Григорий, тая";0.0004941535513522776
b1_p1_h13;С того дня, как приезжала баба Томилина, подурнел Степан с лица. Висли на глаза брови, ложбинка глубокая и черствая косо прорезала лоб. Он мало говори;0.0012849955297127612
b1_p1_h14;— …Тоскую по нем, родная бабунюшка. На своих глазыньках сохну. Не успеваю юбку ушивать — что ни день, то шире становится… Пройдет мимо база, а у меня ;0.00025418335901024314
b1_p1_h15;"— Петру скажи, чтобы запрягал кобылу и своего коня.
Григорий вышел на баз. Петро выкатывал из-под навеса сарая бричку.
— Батя велит запрягать кобылу и";0.0001993663401453032
b1_p1_h16;Только после того как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давн;0.00017469875124120153
b1_p1_h17;За житом — не успели еще свозить на гумна — подошла и пшеница. На суглинистых местах, на пригорках желтел и сворачивался в трубку подгорающий лист, пе;0.002065404084802967
b1_p1_h18;Коршуновы слыли первыми богачами в хуторе Татарском. Четырнадцать пар быков, косяк лошадей, матки с Провальских заводов, полтора десятка коров, пропас;0.00013750067473357108
