name;short_text;prob2_0
b1_p1_h1;Мелеховский двор — на самом краю хутора. Воротца со скотиньего база ведут на север к Дону. Крутой восьмисаженный спуск меж замшелых в прозелени меловы;0.0001796265381654503
b1_p1_h2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;0.00027789350745897597
b1_p1_h3;"Григорий пришел с игрищ после первых кочетов. Из сенцев пахнуло на него запахом перекисших хмелин и пряной сухменью богородицыной травки.
На цыпочках ";0.0003885430851241745
b1_p1_h4;К вечеру собралась гроза. Над хутором стала бурая туча. Дон, взлохмаченный ветром, кидал на берега гребнистые частые волны. За левадами палила небо су;0.0007432838886771325
b1_p1_h5;До хутора Сетракова — места лагерного сбора — шестьдесят верст. Петро Мелехов и Астахов Степан ехали на одной бричке. С ними еще трое казаков-хуторян:;0.0017316964940906452
b1_p1_h6;"Возле лобастого, с желтой песчаной лысиной кургана остановились ночевать.
С запада шла туча. С черного ее крыла сочился дождь. Поили коней в пруду. На";0.0008037079356536678
b1_p1_h7;"Аксинью выдали за Степана семнадцати лет. Взяли ее с хутора Дубровки, с той стороны Дона, с песков.
За год до выдачи осенью пахала она в степи, верст ";0.0006649090976515123
b1_p1_h8;За два дня до троицы хуторские делили луг. На дележ ходил Пантелей Прокофьевич. Пришел оттуда в обед, кряхтя скинул чирики и, смачно почесывая натруже;0.0006886750692423631
b1_p1_h9;От троицы только и осталось по хуторским дворам: сухой чабрец, рассыпанный на полах, пыль мятых листьев да морщиненная, отжившая зелень срубленных дуб;0.0002831448091522775
b1_p1_h10;"Не лазоревым алым цветом 10, а собачьей бесилой, дурнопьяном придорожным цветет поздняя бабья любовь.
С лугового покоса переродилась Аксинья. Будто кт";0.002455013035763877
b1_p1_h11;За хутором Сетраковым в степи рядами вытянулись повозки с брезентовыми будками. Невидимо быстро вырос городок, белокрыший и аккуратный, с прямыми улоч;0.0025497383138444562
b1_p1_h12;"Оставалось полторы недели до прихода казаков из лагерей.
Аксинья неистовствовала в поздней горькой своей любви. Несмотря на угрозы отца, Григорий, тая";0.00198835360986877
b1_p1_h13;С того дня, как приезжала баба Томилина, подурнел Степан с лица. Висли на глаза брови, ложбинка глубокая и черствая косо прорезала лоб. Он мало говори;0.0016634465589738295
b1_p1_h14;— …Тоскую по нем, родная бабунюшка. На своих глазыньках сохну. Не успеваю юбку ушивать — что ни день, то шире становится… Пройдет мимо база, а у меня ;0.0005420493728499204
b1_p1_h15;"— Петру скажи, чтобы запрягал кобылу и своего коня.
Григорий вышел на баз. Петро выкатывал из-под навеса сарая бричку.
— Батя велит запрягать кобылу и";0.0006252872011353942
b1_p1_h16;Только после того как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давн;0.00036814258770162447
b1_p1_h17;За житом — не успели еще свозить на гумна — подошла и пшеница. На суглинистых местах, на пригорках желтел и сворачивался в трубку подгорающий лист, пе;0.0017390707843973386
b1_p1_h18;Коршуновы слыли первыми богачами в хуторе Татарском. Четырнадцать пар быков, косяк лошадей, матки с Провальских заводов, полтора десятка коров, пропас;0.00022744804540911394
b1_p1_h19;В коршуновском курене предсвадебная суета. Невесте наспех дошивали кое-что из белья. Наталья вечера просиживала, вывязывая жениху традиционный шарф из;0.00014960424342895233
b1_p1_h20;"Всходит остролистая зеленая пшеница, растет; через полтора месяца грач хоронится в ней с головой, и не видно; сосет из земли соки, выколосится; потом ";0.0014580093022923523
b1_p1_h21;"За невестой в поезжанье нарядили четыре пароконные подводы. По-праздничному нарядные люди толпились на мелеховском базу возле бричек.
Дружко — Петро —";0.0008208159293218994
b1_p1_h22;"Отдохнувшие у Коршуновых лошади шли, добираясь до мелеховского база, из последних сил. На ременных шлеях, стекая, клубилась пена.
Подвыпившие кучера г";0.005281137141824075
b1_p1_h23;Коршуновы приехали уже после того, как жениха с невестой увезли в церковь. Пантелей Прокофьевич до этого выходил за ворота, взглядывался вдоль улицы, ;0.0002551825098931274
b1_p2_h1;"Сергей Платонович Мохов издалека ведет свою родословную.
В годы царствования Петра I шла однажды в Азов по Дону государева баржа с сухарями и огнестре";0.000211647256081661
b1_p2_h2;В конце августа Митька Коршунов случайно встретился возле Дона с дочерью Сергея Платоновича Елизаветой. Он только что приехал из-за Дона и, примыкая к;0.0005934575359534613
b1_p2_h3;"Наталья пришлась Мелеховым ко двору. Мирон Григорьевич детей школил; не глядя на свое богатство и на то, что помимо них были работники, заставлял рабо";0.00022039266541738122
b1_p2_h4;"В конце октября, в воскресенье, — поехал Федот Бодовсков в станицу.
В кошелке отвез на базар четыре пары кормленых уток, продал; в лавке купил жене си";0.0009044185621715926
b1_p2_h5;Григорий с женой выехали пахать за три дня до покрова. Пантелей Прокофьевич прихворнул: опираясь на костыль, охая от боли, ломавшей поясницу, вышел пр;0.0002804315256902369
b1_p2_h6;С давних пор велось так: если по дороге на Миллерово ехал казак один, без товарищей, то стоило ему при встрече с украинцами (слободы их начинались от ;0.0027796705263899196
b1_p2_h7;Зима легла не сразу. После покрова стаял выпавший снег, и табуны снова выгнали на подножный. С неделю тянул южный ветер, теплело, отходила земля, ярко;0.00020495033029002663
b1_p2_h8;Пантелей Прокофьевич вернулся со схода и прямо прошел в боковушку, комнату, которую он занимал со старухой. Ильинична эти дни прихварывала. На водянис;0.0006353740235576257
b1_p2_h9;"Вечером у косой Лукешки в половине Штокмана собирался разный люд; приходил Христоня, с мельницы Валет в накинутом на плечи замасленном пиджаке; скалоз";0.0008707785433940878
b1_p2_h10;На пологом песчаном левобережье, над Доном, лежит станица Вешенская, старейшая из верховых донских станиц, перенесенная с места разоренной при Петре I;0.0002559906743710738
b1_p2_h11;Наутро Григорий отправился к Мохову в дом. Сергей Платонович пришел из магазина к чаю. Сидел с Атепиным в столовой, оклеенной дорогими, под дуб, обоям;0.0028190154925461417
b1_p2_h12;Аксинья отстряпалась рано, загребла жар, закутала трубу и, перемыв посуду, выглянула в оконце, глядевшее на баз. Степан стоял возле слег, сложенных ко;0.0018900909159783694
b1_p2_h13;Беда в одиночку сроду не ходит: утром, по недогляду Гетька, племенной бугай Мирона Григорьевича распорол рогом лучшей кобылице-матке шею. Гетько прибе;0.0018082350544406714
b1_p2_h14;Сотник Евгений Листницкий служил в лейб-гвардии Атаманском полку. На офицерских скачках разбился, переломил в предплечье левую руку. После лазарета вз;0.0002771255176499088
b1_p2_h15;На четвертой неделе поста сдала зима. На Дону бахромой легли окраинцы, ноздревато припух, поседел подтаявший сверху лед. Вечерами глухо гудела гора, п;0.0015248598806433425
b1_p2_h16;"У Штокмана стали собираться реже. Подходила весна. Хуторцы готовились к весенней работе; лишь с мельницы приходили Валет с Давыдкой и машинист Иван Ал";0.0006891895965774481
b1_p2_h17;"Григорий вернулся из Миллерова, куда отвозил Евгения, в вербное воскресенье. Оттепель съела снег; дорога испортилась в каких-нибудь два дня.
В Ольхово";0.0006759946280673697
b1_p2_h18;У соседки Коршуновых Пелагеи в ночь под субботу на страстной неделе собрались бабы на посиделки. Гаврила Майданников — муж Пелагеи — писал из Лодзи, с;0.00029047731204383454
b1_p2_h19;"Степан подошел к Григорию и, ухватившись за стремя, плотно прижался к потному боку жеребца.
— Ну, здорово, Григорий!
— Слава богу.
— Что ж ты думаешь?";0.0026760943445704034
b1_p2_h20;На шестом месяце, когда скрывать беременность было уже нельзя, Аксинья призналась Григорию. Она скрывала, боясь, что Григорий не поверит в то, что его;0.0017270525416516452
b1_p2_h21;"К просторному суходолу наростом прилипло имение Листницкого — Ягодное. Меняясь, дул ветер то с юга, то с севера; плыло в синеватой белизне неба солнце";0.00027307052355772803
b1_p2_h22;На шестом месяце, когда скрывать беременность было уже нельзя, Аксинья призналась Григорию. Она скрывала, боясь, что Григорий не поверит в то, что его;0.0017270525416516452
b1_p2_h23;"К просторному суходолу наростом прилипло имение Листницкого — Ягодное. Меняясь, дул ветер то с юга, то с севера; плыло в синеватой белизне неба солнце";0.00027307052355772803
b1_p3_h1;В марте 1914 года в ростепельный веселый день пришла Наталья к свекру. Пантелей Прокофьевич заплетал пушистым сизым хворостом разломанный бугаем плете;7.031892083788668e-05
b1_p3_h2;Где-то позади, в сером слизистом тумане осталась длинная дорога от Маньково-Калитвенской слободы до местечка Радзивиллово. Пытался Григорий вспомнить ;0.00043633945904398387
b1_p3_h3;Над степью — желтый солнечный зной. Желтой пылью дымятся нескошенные вызревшие заливы пшеницы. К частям косилки не притронуться рукой. Вверх не поднят;0.004362244970949892
b1_p3_h4;На площади серая густела толпа. В рядах — лошади, казачья справа, мундиры с разными номерами погонов. На голову выше армейцев-казаков, как гуси голлан;0.000531558272416767
b1_p3_h5;В последних числах июня полк выступил на маневры. По распоряжению штаба дивизии полк походным порядком прошел до города Ровно. В окрестностях его разв;0.00032963926314645006
b1_p3_h6;Казаки-второочередники с хутора Татарского и окрестных хуторов на второй день после выступления из дому ночевали на хуторе Ея. Казаки с нижнего конца ;0.0006122523802471
b1_p3_h7;Обычно из верховских станиц Донецкого округа — Еланской, Вешенской, Мигулинской и Казанской — брали казаков в 11-й — 12-й армейские казачьи полки и в ;0.00016432961289671822
b1_p3_h8;В местечке Торжок полк разбили по сотням. Шестая сотня, на основании приказа штаба дивизии, была послана в распоряжение Третьего армейского пехотного ;0.00028456031124589847
b1_p3_h9;Из этого после сделали подвиг. Крючков, любимец командира сотни, по его реляции получил Георгия. Товарищи его остались в тени. Героя отослали в штаб д;0.021201034607433573
b1_p3_h10;Фронт еще не улегся многоверстной неподатливой гадюкой. На границе вспыхивали кавалерийские стычки и бои. В первые дни после объявления войны германск;0.00030703983189292667
b1_p3_h11;Небольшая в сафьяновом, цвета под дуб, переплете записная книжка. Углы потерты и заломлены: долго носил хозяин в кармане. Листки исписаны узловатым ко;0.0004014144063763733
b1_p3_h12;11-я кавалерийская дивизия после занятия Лешнюва с боем прошла через Станиславчик, Радзивиллов, Броды и 15 августа развернулась возле города Каменка-С;0.0002690310424890247
b1_p3_h13;Операция по захвату города началась рано утром. Пехотные части, имея на флангах и в резерве кавалерию, должны были повести наступление от леса с рассв;0.0014813172977882116
b1_p3_h14;В первых числах августа сотник Евгений Листницкий решил перевестись из лейб-гвардии Атаманского полка в какой-либо казачий армейский полк. Он подал ра;0.0010650107051618626
b1_p3_h15;"Дивизия получила задание форсировать реку Стырь и около Ловишчей выйти противнику в тыл.
Листницкий за несколько дней сжился с офицерским составом пол";0.0007380872814259409
b1_p3_h16;"Вместе со второй очередью ушла и третья. Станицы, хутора на Дону обезлюдели, будто на покос, на страду вышла вся Донщина.
На границах горькая разгорал";0.0017705228884181757
b1_p3_h17;Мелеховы на двенадцатый день после известия о смерти Григория получили от Петра два письма сразу. Дуняшка еще на почте прочитала их и — то неслась к д;0.0006072421525432626
b1_p3_h18;Выметываясь из русла, разбивается жизнь на множество рукавов. Трудно предопределить, по какому устремит она свой вероломный и лукавый ход. Там, где ны;0.0012999257462422177
b1_p3_h19;Война и из Ягодного повыдергала людей. Ушли Вениамин и Тихон, после них стало еще глуше, тише, скучнее. Вместо Вениамина прислуживала старому генералу;0.001191734761961035
b1_p3_h20;Ярко, до слепящей боли, вспомнилась Григорию та ночь. Он очнулся перед рассветом, повел руками, натыкаясь на колючее жнивье, и застонал от садной боли;0.0011431574672035362
b1_p3_h21;Вагон мягко покачивает, перестук колес убаюкивающе сонлив, от фонаря до половины лавки желтая вязь света. Так хорошо вытянуться во весь рост и лежать ;0.057711855224146166
b1_p3_h22;На Юго-Западном фронте в районе Шевеля командование армии решило грандиозной кавалерийской атакой прорвать фронт противника и кинуть в тыл ему большой;0.00034614391639809205
b1_p3_h23;"К глазной лечебнице доктора Снегирева примыкал маленький садик.
Таких неуютных стриженых садов много по окраинным переулкам Москвы, в них не отдыхает ";0.0005646882280651871
b1_p3_h24;В ночь на 4 ноября Григорий Мелехов пришел в Нижне-Яблоновский, первый от станции казачий хутор Вешенского юрта. До имения Ягодного оставалось несколь;0.001292593379461275
b2_p1_h1;Тысяча девятьсот шестнадцатый год. Октябрь. Ночь. Дождь и ветер. Полесье. Окопы над болотом, поросшим ольхой. Впереди проволочные заграждения. В окопа;0.00026891508176481686
b2_p2_h2;"На другой день утром смущенный вахмистр вошел в землянку Листницкого; помявшись, сообщил:
— Нынче утром казаки, ваше благородие, нашли в окопах вот эт";0.00033450026384617077
b2_p3_h3;На Владимиро-Волынском и Ковельском направлениях, в районе действий Особой армии (армия была по счету тринадцатой, но так как 13 — цифра несчастливая,;0.00013493213361765892
b2_p4_h4;Верст на сорок ниже по Стоходу шли бои. Две недели неумолчно стонал сплошной орудийный гул, по ночам далекое фиолетовое небо кромсали отсветы прожекто;9.52286693433196e-05
b2_p5_h5;Сбочь хутора Татарского, по небу, изморщенному седой облачной рябью, колесило осеннее солнце. Там, вверху, тихий ветерок лишь слегка подталкивал тучи,;0.00011866126770030132
b2_p6_h6;В ноябре в обним жали морозы. Ранний перепадал снежок. На колене против верхнего конца хутора Татарского стал Дон. По хрупкому сизому льду перебиралис;0.0002032563597492388
b2_p7_h7;Маленькими смуглыми руками, покрытыми редким глянцем волоса, щупал Сергей Платонович Мохов жизнь со всех сторон. Иногда и она с ним заигрывала, иногда;0.0013429967628377142
b2_p8_h8;Первую бригаду одной из пехотных дивизий, находившуюся в резерве Юго-Западного фронта, с приданным к ней 27-м Донским казачьим полком, перед Февральск;0.00011919519324918189
b2_p9_h9;Через сутки полк был уже неподалеку от фронта. На узловой станции эшелоны остановили. Вахмистры разнесли приказ: «Выгружаться!» Торопливо сводили каза;0.0004562179861497612
b2_p10_h10;По возвращении из отпуска есаул Евгений Листницкий получил назначение в 14-й Донской казачий полк. В свой полк, в котором служил раньше и из которого ;0.0005716410395988083
b2_p11_h11;Назначение генерала Корнилова главнокомандующим Юго-Западного фронта встречено было офицерским составом 14-го полка с большим сочувствием. О нем говор;0.00025266597474600457
b2_p12_h12;В сотне Листницкого был казак Букановской станицы Лагутин Иван. По первым выборам он прошел в члены полкового Военно-революционного комитета, до прихо;0.00034732919726906253
b2_p13_h13;6 августа начальник штаба верховного главнокомандующего генерал Лукомский, через первого генерал-квартирмейстера Ставки генерала Романовского, получил;0.0008876806067533885
b2_p14_h14;За день до приезда Корнилова в Москву есаул Листницкий прибыл туда с поручением особой важности от Совета союза казачьих войск. Передав в штаб находив;0.0003481641681805145
b2_p15_h15;В версте от развалин местечка, стертого орудийным огнем июньских боев, возле леса причудливо вилюжились зигзаги окопов. Участок у самой опушки занимал;9.303206411516202e-05
b2_p16_h16;"Уже 29 августа из телеграмм, получаемых от Крымова, Корнилову стало ясно, что дело вооруженного переворота погибло.
В два пополудни в Ставку прибыл от";0.00637691003648563
b2_p17_h17;Кинутые на Петроград части 3-го конного корпуса и Туземной дивизии эшелонировались на огромном протяжении восьми железных дорог: Ревель, Везенберг, На;7.234443690778839e-05
b2_p18_h18;"31 августа в Петрограде застрелился вызванный туда Керенским генерал Крымов.
С повинной потекли в Зимний дворец делегации и командиры частей крымовско";0.0021355161428184056
b2_p19_h19;В последних числах октября, рано утром, есаул Листницкий получил распоряжение от командира полка — с сотней в пешем строю явиться на Дворцовую площадь;0.0006419532828334868
b2_p20_h20;Теплилась осень. Перепадали дожди. Над Быховом редко показывалось обескровленное солнце. В октябре начался отлет дикой птицы. Даже ночами звенел над п;0.00026363219120492545
b2_p21_h21;Полк отступал вторые сутки. Медленно, с боями, но отступал. По возвышенным грунтовым дорогам тянулись обозы русской и румынской армий. Объединенные ав;0.0001671318916971006
b2_p22_h22;Полая вода только что начала сбывать. На лугу, около огородных плетней, оголилась бурая, илистая земля, каймой лежал наплав: оставшиеся от разлива обл;0.00023404961066632183
b2_p23_h23;После ухода Кошевого казаки сидели некоторое время молча. Над хутором шатался набатный гуд, мелко дребезжали оконца хаты. Иван Алексеевич смотрел в ок;0.0001191347309842319
b2_p24_h24;В Каргинскую приехали перед вечером. В станице уже не было фронтовиков — ушли на Мигулинскую. Петро, спешив свой отряд на площади, возле магазина купц;0.0001785351727513479
b2_p25_h25;Номерным у Бунчука был казак с хутора Татарского Максимка Грязнов. Коня потерял он в бою с кутеповским отрядом, с той поры безудержно запил, пристраст;0.001059365712889021
b2_p26_h26;Эти дни он жил, как в тифозном бреду. Ходил, делал что-то, ел, спал, но все это словно в полусне, одуряющем и дурманном. Ошалелыми припухлыми глазами ;0.00027246877813838526
b2_p27_h27;Несколько дней экспедиция шла в глубь Донецкого округа, прорываясь к Краснокутской станице. Население украинских слобод встречало отряд с неизменным р;0.00011999496476858997
b2_p28_h28;На западе густели тучи. Темнело. Где-то далеко-далеко, в полосе Обдонья, вилась молния, крылом недобитой птицы трепыхалась оранжевая зарница. В той ст;0.00020429929144023275
b2_p29_h29;В ночь эту, обрызганную молочным светом бледно-желтых звезд, в лавчушке, набитой людьми до отказа, почти не было сна. Короткие гасли разговоры. Духота;0.000821861034983824
b2_p30_h30;"Отряд татарских казаков под командой хорунжего Петра Мелехова прибыл в хутор Пономарев 11 мая на рассвете.
По хутору сновали казаки-чирцы, вели на вод";0.0002620192345405451
b2_p31_h31;Мишка Кошевой и Валет только на вторую ночь вышли из Каргинской. Туман пенился в степи, клубился в балках, ник в падинах, лизал отроги Яров. Опушенные;0.0004319576758239407
b3_p2_h2;С Дона через Украину катились красные составы вагонов, увозя в Германию пшеничную муку, яйца, масло, быков. На площадках стояли немцы в бескозырках, в;7.348400597562852e-05
b3_p3_h3;Неделю отдыхал Мишка, целые дни проводя в седле. Степь его покоряла, властно принуждала жить первобытной, растительной жизнью. Косяк ходил где-нибудь ;0.0010610098866518439
b3_p4_h4;15 мая атаман Всевеликого войска Донского Краснов, сопутствуемый председателем совета управляющих, управляющим отделом иностранных дел генерал-майором;0.00011408220368665937
b3_p5_h5;Во время ледяного похода 60 Евгений Листницкий был ранен два раза: первый раз — в бою за овладение станицей Усть-Лабинской, второй — при штурме Екатер;0.00014520534127263431
b3_p6_h6;Вызрел ковыль. Степь на многие версты оделась колышущимся серебром. Ветер упруго приминал его, наплывая, шершавил, бугрил, гнал то к югу, то к западу ;0.00018097448115916072
b3_p7_h7;"По линии Филоново — Поворино выравнивался фронт. Красные стягивали силы, копили кулак для удара. Казаки вяло развивали наступление; испытывая острую н";0.00011655585794792636
b3_p8_h8;"Неподалеку от станицы Дурновской Вешенский полк в первый раз ввязался в бой с отступавшими частями красноармейцев.
Сотня под командой Григория Мелехов";0.00011104518566007719
b3_p9_h9;И после, когда полк вступил в полосу непрерывных боев, когда вместо завес уже лег изломистой вилюжиной фронт, Григорий всегда, сталкиваясь с неприятел;0.00012331039576968204
b3_p10_h10;Цепь дней. Звено, вкованное в звено. Переходы, бои, отдых. Жара. Дождь. Смежные запахи конского пота и нагретой кожи седла. В жилах от постоянного нап;0.00011789672467493117
b3_p11_h11;В конце ноября в Новочеркасске стало известно о прибытии военной миссии держав Согласия. По городу пошли упорные слухи о том, что мощная английская эс;0.00023956125181449748
b3_p12_h12;Враждебность, незримой бороздой разделившая офицеров и казаков еще в дни империалистической войны, к осени 1918 года приняла размеры неслыханные. В ко;0.0012129883641570677
b3_p13_h13;Пугающие тишиной, короткие дни под исход казались большими, как в страдную пору. Полегли хутора глухой целинной степью. Будто вымерло все Обдонье, буд;0.00015030808396866794
b3_p14_h14;В Вешенской на заборах трепыхались фоминские приказы. С часу на час ждали прихода красных войск. А в Каргинской, в тридцати пяти верстах от Вешенской,;0.00162518933873603
