name;short_text;prob2_0
b3_p13_h13;Пугающие тишиной, короткие дни под исход казались большими, как в страдную пору. Полегли хутора глухой целинной степью. Будто вымерло все Обдонье, буд;0.009402622111902511
b1_p3_h7;Обычно из верховских станиц Донецкого округа — Еланской, Вешенской, Мигулинской и Казанской — брали казаков в 11-й — 12-й армейские казачьи полки и в ;0.10399086841978504
b2_p9_h9;Через сутки полк был уже неподалеку от фронта. На узловой станции эшелоны остановили. Вахмистры разнесли приказ: «Выгружаться!» Торопливо сводили каза;0.021231409614300076
b2_p14_h14;За день до приезда Корнилова в Москву есаул Листницкий прибыл туда с поручением особой важности от Совета союза казачьих войск. Передав в штаб находив;0.08779483351547204
b1_p3_h19;Война и из Ягодного повыдергала людей. Ушли Вениамин и Тихон, после них стало еще глуше, тише, скучнее. Вместо Вениамина прислуживала старому генералу;0.01468008885455258
b1_p1_h23;Коршуновы приехали уже после того, как жениха с невестой увезли в церковь. Пантелей Прокофьевич до этого выходил за ворота, взглядывался вдоль улицы, ;0.033809948957319806
b1_p3_h3;Над степью — желтый солнечный зной. Желтой пылью дымятся нескошенные вызревшие заливы пшеницы. К частям косилки не притронуться рукой. Вверх не поднят;0.048484990910621736
b1_p2_h6;С давних пор велось так: если по дороге на Миллерово ехал казак один, без товарищей, то стоило ему при встрече с украинцами (слободы их начинались от ;0.08445745097319585
b2_p20_h20;Теплилась осень. Перепадали дожди. Над Быховом редко показывалось обескровленное солнце. В октябре начался отлет дикой птицы. Даже ночами звенел над п;0.06678146858059902
b1_p1_h12;"Оставалось полторы недели до прихода казаков из лагерей.
Аксинья неистовствовала в поздней горькой своей любви. Несмотря на угрозы отца, Григорий, тая";0.12257249579609283
b1_p2_h10;На пологом песчаном левобережье, над Доном, лежит станица Вешенская, старейшая из верховых донских станиц, перенесенная с места разоренной при Петре I;0.0354235514968812
b2_p22_h22;Полая вода только что начала сбывать. На лугу, около огородных плетней, оголилась бурая, илистая земля, каймой лежал наплав: оставшиеся от разлива обл;0.006993103075455995
b2_p30_h30;"Отряд татарских казаков под командой хорунжего Петра Мелехова прибыл в хутор Пономарев 11 мая на рассвете.
По хутору сновали казаки-чирцы, вели на вод";0.023886161812731923
