name;short_text;prob2_0
b3_p13_h13;Пугающие тишиной, короткие дни под исход казались большими, как в страдную пору. Полегли хутора глухой целинной степью. Будто вымерло все Обдонье, буд;0.0028727723240684552
b1_p3_h7;Обычно из верховских станиц Донецкого округа — Еланской, Вешенской, Мигулинской и Казанской — брали казаков в 11-й — 12-й армейские казачьи полки и в ;0.001068508584865018
b2_p9_h9;Через сутки полк был уже неподалеку от фронта. На узловой станции эшелоны остановили. Вахмистры разнесли приказ: «Выгружаться!» Торопливо сводили каза;0.006939433652718803
b2_p14_h14;За день до приезда Корнилова в Москву есаул Листницкий прибыл туда с поручением особой важности от Совета союза казачьих войск. Передав в штаб находив;0.0005506527066241616
b1_p3_h19;Война и из Ягодного повыдергала людей. Ушли Вениамин и Тихон, после них стало еще глуше, тише, скучнее. Вместо Вениамина прислуживала старому генералу;0.04303627514844317
b1_p1_h23;Коршуновы приехали уже после того, как жениха с невестой увезли в церковь. Пантелей Прокофьевич до этого выходил за ворота, взглядывался вдоль улицы, ;0.001292966273137436
b1_p3_h3;Над степью — желтый солнечный зной. Желтой пылью дымятся нескошенные вызревшие заливы пшеницы. К частям косилки не притронуться рукой. Вверх не поднят;0.0054982067173604
b1_p2_h6;С давних пор велось так: если по дороге на Миллерово ехал казак один, без товарищей, то стоило ему при встрече с украинцами (слободы их начинались от ;0.029507709034704895
b2_p20_h20;Теплилась осень. Перепадали дожди. Над Быховом редко показывалось обескровленное солнце. В октябре начался отлет дикой птицы. Даже ночами звенел над п;0.0035801024902728015
b1_p1_h12;"Оставалось полторы недели до прихода казаков из лагерей.
Аксинья неистовствовала в поздней горькой своей любви. Несмотря на угрозы отца, Григорий, тая";0.018022887370445297
b1_p2_h10;На пологом песчаном левобережье, над Доном, лежит станица Вешенская, старейшая из верховых донских станиц, перенесенная с места разоренной при Петре I;0.0047495080749045985
b2_p22_h22;Полая вода только что начала сбывать. На лугу, около огородных плетней, оголилась бурая, илистая земля, каймой лежал наплав: оставшиеся от разлива обл;0.0009427864485841492
b2_p30_h30;"Отряд татарских казаков под командой хорунжего Петра Мелехова прибыл в хутор Пономарев 11 мая на рассвете.
По хутору сновали казаки-чирцы, вели на вод";0.0002900014515712916
b3_p25_h25;Кошевой, задумчиво похлопывая плеткой по голенищу, уронив голову, медленно всходил по порожкам моховского дома. Около дверей в коридоре, прямо на полу;0.002780284409547517
b1_p1_h2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;0.003708739715884723
b3_p4_h4;15 мая атаман Всевеликого войска Донского Краснов, сопутствуемый председателем совета управляющих, управляющим отделом иностранных дел генерал-майором;0.0013253208307318826
b4_p6_h6;Тотчас же, как только в Вешенской стало известно о спешном отступлении красных частей, Григорий Мелехов с двумя конными полками вплавь переправился че;0.010313017769654922
b3_p34_h34;На заре разведка, посланная к Красному яру, вернулась с известием, что красных не обнаружено до Еланской грани и что Петро Мелехов с десятью казаками ;0.00949169139114771
b3_p1_h1;"Как ты, батюшка, славный тихий Дон,
Ты кормилец наш, Дон Иванович,
Про тебя лежит слава добрая,
Слава добрая, речь хорошая,
Как, бывало, ты все быстер";0.09072310346823902
b2_p11_h11;Назначение генерала Корнилова главнокомандующим Юго-Западного фронта встречено было офицерским составом 14-го полка с большим сочувствием. О нем говор;0.0015458152044589644
b1_p2_h21;"К просторному суходолу наростом прилипло имение Листницкого — Ягодное. Меняясь, дул ветер то с юга, то с севера; плыло в синеватой белизне неба солнце";0.004015449122052303
b4_p19_h19;"Небо заволокло тучами. Накрапывал мелкий, будто сквозь сито сеянный, дождь. Молодая отава, бурьяны, раскиданные по степи кусты дикого терна блестели.
";0.0020052291004894404
b1_p2_h12;Аксинья отстряпалась рано, загребла жар, закутала трубу и, перемыв посуду, выглянула в оконце, глядевшее на баз. Степан стоял возле слег, сложенных ко;0.010365052406197658
b1_p3_h1;В марте 1914 года в ростепельный веселый день пришла Наталья к свекру. Пантелей Прокофьевич заплетал пушистым сизым хворостом разломанный бугаем плете;0.0011742557423297668
b1_p3_h18;Выметываясь из русла, разбивается жизнь на множество рукавов. Трудно предопределить, по какому устремит она свой вероломный и лукавый ход. Там, где ны;0.007598561821320136
b1_p1_h7;"Аксинью выдали за Степана семнадцати лет. Взяли ее с хутора Дубровки, с той стороны Дона, с песков.
За год до выдачи осенью пахала она в степи, верст ";0.03548533367753079
b2_p21_h21;Полк отступал вторые сутки. Медленно, с боями, но отступал. По возвышенным грунтовым дорогам тянулись обозы русской и румынской армий. Объединенные ав;0.000695489046026642
b2_p28_h28;На западе густели тучи. Темнело. Где-то далеко-далеко, в полосе Обдонья, вилась молния, крылом недобитой птицы трепыхалась оранжевая зарница. В той ст;0.0006526807613083939
b2_p10_h10;По возвращении из отпуска есаул Евгений Листницкий получил назначение в 14-й Донской казачий полк. В свой полк, в котором служил раньше и из которого ;0.0012764434642243778
b3_p31_h31;В Вешенской к красному кирпичному зданию исполкома резво подкатила тачанка, конвоируемая двумя конными казаками. В задке полулежал Лихачев. Он встал, ;0.005709446222911712
b4_p21_h21;Мелеховская семья за один год убавилась наполовину. Прав был Пантелей Прокофьевич, сказав однажды, что смерть возлюбила их курень. Не успели похоронит;0.006316516432265737
b1_p3_h13;Операция по захвату города началась рано утром. Пехотные части, имея на флангах и в резерве кавалерию, должны были повести наступление от леса с рассв;0.015465305625026113
b1_p3_h11;Небольшая в сафьяновом, цвета под дуб, переплете записная книжка. Углы потерты и заломлены: долго носил хозяин в кармане. Листки исписаны узловатым ко;0.0004984440948211258
b1_p3_h2;Где-то позади, в сером слизистом тумане осталась длинная дорога от Маньково-Калитвенской слободы до местечка Радзивиллово. Пытался Григорий вспомнить ;0.0022185088866930338
b2_p17_h17;Кинутые на Петроград части 3-го конного корпуса и Туземной дивизии эшелонировались на огромном протяжении восьми железных дорог: Ревель, Везенберг, На;0.0002066570380170418
b1_p3_h22;На Юго-Западном фронте в районе Шевеля командование армии решило грандиозной кавалерийской атакой прорвать фронт противника и кинуть в тыл ему большой;0.004313988034028973
b1_p1_h18;Коршуновы слыли первыми богачами в хуторе Татарском. Четырнадцать пар быков, косяк лошадей, матки с Провальских заводов, полтора десятка коров, пропас;0.003513164383740616
b1_p1_h20;"Всходит остролистая зеленая пшеница, растет; через полтора месяца грач хоронится в ней с головой, и не видно; сосет из земли соки, выколосится; потом ";0.19348987700219653
b3_p16_h16;"Далеко за Доном — время перевалило уже за обед — пулемет глухо выщелкал две очереди и смолк.
Через полчаса Григорий, не отходивший от окна в горнице, ";0.009483814393645979
b1_p2_h11;Наутро Григорий отправился к Мохову в дом. Сергей Платонович пришел из магазина к чаю. Сидел с Атепиным в столовой, оклеенной дорогими, под дуб, обоям;0.024953759507378877
b1_p2_h20;На шестом месяце, когда скрывать беременность было уже нельзя, Аксинья призналась Григорию. Она скрывала, боясь, что Григорий не поверит в то, что его;0.022354824951735335
b3_p21_h21;Снег падал и таял на лету. В полдень в ярах с глухим шумом рушились снежные оползни. За Доном шумел лес. Стволы дубов оттаяли, почернели. С ветвей сры;0.0269722900754179
b1_p1_h16;Только после того как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давн;0.006500164954598088
b4_p3_h3;"Поздно ночью Григорий пришел из штаба на квартиру. Прохор Зыков ожидал его у калитки.
— Про Аксинью не слышно? — спросил Григорий с деланным равнодуши";0.007929239402023143
b1_p2_h2;В конце августа Митька Коршунов случайно встретился возле Дона с дочерью Сергея Платоновича Елизаветой. Он только что приехал из-за Дона и, примыкая к;0.003553964624383453
b2_p12_h12;В сотне Листницкого был казак Букановской станицы Лагутин Иван. По первым выборам он прошел в члены полкового Военно-революционного комитета, до прихо;0.0011546357715422565
b1_p1_h5;До хутора Сетракова — места лагерного сбора — шестьдесят верст. Петро Мелехов и Астахов Степан ехали на одной бричке. С ними еще трое казаков-хуторян:;0.0052305110466913055
b3_p29_h29;На рассвете, измученный, Кошевой въехал в хутор Большой Усть-Хоперской станицы. Его остановила застава 4-го Заамурского полка. Двое красноармейцев отв;0.01711326667980494
b1_p1_h1;Мелеховский двор — на самом краю хутора. Воротца со скотиньего база ведут на север к Дону. Крутой восьмисаженный спуск меж замшелых в прозелени меловы;0.01219706851010359
b1_p2_h14;Сотник Евгений Листницкий служил в лейб-гвардии Атаманском полку. На офицерских скачках разбился, переломил в предплечье левую руку. После лазарета вз;0.0070465424447457075
b3_p24_h24;Из глубоких затишных омутов сваливается Дон на россыпь. Кучеряво вьется там течение. Дон идет вразвалку, мерным тихим разливом. Над песчаным твердым д;0.0011995200383746513
b2_p13_h13;6 августа начальник штаба верховного главнокомандующего генерал Лукомский, через первого генерал-квартирмейстера Ставки генерала Романовского, получил;0.0014525997763021106
b3_p23_h23;"Петро только что наметал скотине и вошел в курень, выбирая из варежек сенные остья. Сейчас же звякнула щеколда в сенцах.
Закутанная в черный ковровый ";0.01578654869993753
b2_p29_h29;В ночь эту, обрызганную молочным светом бледно-желтых звезд, в лавчушке, набитой людьми до отказа, почти не было сна. Короткие гасли разговоры. Духота;0.010670289194365424
b2_p7_h7;Маленькими смуглыми руками, покрытыми редким глянцем волоса, щупал Сергей Платонович Мохов жизнь со всех сторон. Иногда и она с ним заигрывала, иногда;0.0018003885416592506
b3_p6_h6;Вызрел ковыль. Степь на многие версты оделась колышущимся серебром. Ветер упруго приминал его, наплывая, шершавил, бугрил, гнал то к югу, то к западу ;0.0010532860525001434
b4_p16_h16;Несколько дней после разговора с Дарьей Наталья жила, испытывая такое ощущение, какое бывает во сне, когда тяжко давит дурной сон и нет сил очнуться. ;0.010241830600857427
b3_p7_h7;"По линии Филоново — Поворино выравнивался фронт. Красные стягивали силы, копили кулак для удара. Казаки вяло развивали наступление; испытывая острую н";0.003690082231614606
b4_p10_h10;"На рассвете его разбудил Копылов.
— Вставай, пора собираться, ехать! Приказано ведь быть к шести часам.
Начальник штаба только что побрился, вычистил ";0.001132114080613929
b2_p15_h15;В версте от развалин местечка, стертого орудийным огнем июньских боев, возле леса причудливо вилюжились зигзаги окопов. Участок у самой опушки занимал;0.0009985451557514972
b2_p23_h23;После ухода Кошевого казаки сидели некоторое время молча. Над хутором шатался набатный гуд, мелко дребезжали оконца хаты. Иван Алексеевич смотрел в ок;0.0007640643927782075
b1_p3_h23;"К глазной лечебнице доктора Снегирева примыкал маленький садик.
Таких неуютных стриженых садов много по окраинным переулкам Москвы, в них не отдыхает ";0.0014962943179190576
b4_p11_h11;Казачьи сотни четвертый раз вставали из неглубоких окопов и под убийственным пулеметным огнем красных залегали снова. Красноармейские батареи, укрытые;0.013589364628097286
b1_p2_h9;"Вечером у косой Лукешки в половине Штокмана собирался разный люд; приходил Христоня, с мельницы Валет в накинутом на плечи замасленном пиджаке; скалоз";0.009474601026165543
b3_p35_h35;Приказом командующего объединенными повстанческими силами Верхнего Дона Григорий Мелехов назначен был командиром Вешенского полка. Десять сотен казако;0.008347706874398534
b2_p1_h1;Тысяча девятьсот шестнадцатый год. Октябрь. Ночь. Дождь и ветер. Полесье. Окопы над болотом, поросшим ольхой. Впереди проволочные заграждения. В окопа;0.0011072149772246593
b3_p2_h2;С Дона через Украину катились красные составы вагонов, увозя в Германию пшеничную муку, яйца, масло, быков. На площадках стояли немцы в бескозырках, в;0.0009198390111005556
b4_p22_h22;Четырнадцать изловленных дезертиров ждали суда. Суд был короткий и немилостивый. Престарелый есаул, председательствовавший на заседаниях, спрашивал у ;0.0038322297595081213
b2_p27_h27;Несколько дней экспедиция шла в глубь Донецкого округа, прорываясь к Краснокутской станице. Население украинских слобод встречало отряд с неизменным р;0.0009002835721160573
b4_p1_h1;Верхнедонское восстание, оттянувшее с Южного фронта значительное количество красных войск, позволило командованию Донской армии не только свободно про;0.0016661472439625912
