name;short_text;prob2_0
a26;"Лось остается один

– Революция, Мстислав Сергеевич. Весь город вверх ногами. Потеха!
Гусев стоял в библиотеке. В обычно сонных глазах его прыгали вес";0.11064722242216962
a15;"Соацера

Голубоватые очертания Соацеры, уступы плоских крыш, решетчатые стены, покрытые зеленью, овальные зеркала прудов, прозрачные башни, поднимаясь";0.41440346291385627
a37;"Земля

Алмазные поля были следами прохождения блуждавшей в пространствах кометы. Долгое время аппарат, втянутый в ее тяготение, пробирался среди небес";0.047203552773267814
a6;"Отлет

На пустыре перед мастерской Лося стал собираться народ. Шли с набережной, бежали со стороны Петровского острова, сбивались в кучки, поглядывали";0.3172664213439016
a36;"Небытие

– Ну что, Мстислав Сергеевич, – живы?
Обожгло рот. Жидкий огонь пошел по телу, по жилам, по костям. Лось раскрыл глаза. Пыльная звездочка гор";0.021995485442733817
a32;"Контратака

Лось и Гор выходили в эту минуту на лестницу дома, под колоннаду, когда раздался второй взрыв. Синеватым веером взлетело пламя в северной ";0.570983733276374
a11;"Закат

Раскинув узкие туманные крылья, пылающее солнце клонилось к закату.
Лось и Гусев торопливо шли по тускнеющей, теперь еще более пустынной и дико";0.18766828600343943
a5;"Тою же ночью

Этой ночью Маша долго дожидалась мужа – несколько раз подогревала чайник на примусе. За высокой дубовой дверью было тихо и жутковато.
Гу";0.1328373181821543
a28;"Древняя песня

Аэлита, Ихошка и Лось летели в четырехкрылой лодке к горам Лизиазиры.
Не переставая работал приемник электромагнитных волн – мачта с от";0.039071178822575776
a35;"Бегство

Военный корабль кружился некоторое время над скалами Священного Порога, затем уплыл в сторону Азоры и где-то сел. Только тогда Иха и Гусев мо";0.1447447032532136
a2;"В мастерской Лося

Скайльс вошел во двор, заваленный ржавым железом и бочонками от цемента. Чахлая трава росла на грудах мусора, между спутанными клуб";0.017946999289007733
a1;На улице Красных Зорь появилось странное объявление: небольшой, серой бумаги листок, прибитый к облупленной стене пустынного дома. Корреспондент амери;0.4367638921818287
a31;"Поворот событий

Войска повстанцев заняли все важнейшие пункты города, указанные Гором. Ночь была прохладная. Марсиане мерзли на постах. Гусев распоря";0.14152933752151167
a3;"Спутник

Лось стоял, прислонившись плечом к верее раскрытых ворот. Трубка его погасла.
За воротами до набережной Ждановки лежал пустырь. За рекой неяс";0.10401456982686211
a9;"Марс

Темно-синее, как море в грозу, ослепительное, бездонное небо увидели Гусев и Лось, вылезая из аппарата.
Пылающее, косматое солнце стояло высоко ";0.3522828688194866
a22;"Утро Аэлиты

Аэлита проснулась рано и лежала, облокотившись. Ее широкая, открытая со всех сторон постель стояла, по обычаю, посреди спальни на возвыше";0.2605718684941256
a10;"Заброшенный дом

От берега до ближайшей кущи деревьев Лось и Гусев шли по горелому, бурому праху, перепрыгивали через обсыпавшиеся неширокие каналы, о";0.011602860611718504
a24;"Гусев наблюдает город

Иха совсем одурела. О чем бы ни просил ее Гусев, тотчас исполняла, глядела на него матовыми глазами. И смешно и жалко. Гусев об";0.18419013115594493
a7;"В черном небе

Завинтив входной люк, Лось сел напротив Гусева и стал глядеть ему в глаза, – в колючие, как у пойманной птицы, точки зрачков.
– Летим, ";0.06089882461270042
a29;"Лось летит на помощь Гусеву

В полночь Лось выскочил из лодки на дворе Тускубовой усадьбы. Окна дома были темны, – значит, Гусев еще не вернулся. Пока";0.29059227855946174
a34;"Хао

– Сын Неба, Сын Неба, – позвал тоненький голос.
Гусев и Лось подходили к усадьбе со стороны рощи. Из лазурных зарослей высунулось востроносое лич";0.27657215804747576
a23;"Второй рассказ Аэлиты

– Вот что мы прочли в цветных книгах, – сказала Аэлита.
В те далекие времена на Земле центром мира был город Ста Золотых Ворот,";0.0019952597950739217
a27;"Чары

Лось сел позади Аэлиты. Механик – краснокожий мальчик – плавным толчком поднял крылатую лодку в небо.
Холодный ветер кинулся навстречу. Белая, к";0.1483493335499708
a33;"Лабиринт царицы Магр

Лось и Гусев осторожно двигались в затхлой и душной темноте.
– Заворачиваем, Мстислав Сергеевич…
– Узко?
– Широко, руки не доста";0.1931241363176347
a38;"Голос любви

Облака снега летели вдоль Ждановской набережной, ползли поземкой по тротуарам, сумасшедшие хлопья крутились у качающихся фонарей. Засыпал";0.05015034488008621
a12;"Лось глядит на Землю

Тень воздушного корабля исчезла. Лось влез на мокрую обшивку аппарата, закурил трубочку и поглядывал на звезды. Тонкий холодок з";0.030082185885983513
a16;"В лазоревой роще

Соацера утонула далеко за холмами. Корабль летел над равниной. Кое-где виднелись однообразные линии построек, столбы и проволоки под";0.05042368013643662
a13;"Марсиане

Ослепительно розовые гряды облаков, как жгуты пряжи, покрывали утреннее небо. То появляясь в густо-синих просветах, то исчезая за розовыми г";0.2551532076826497
a8;"Спуск

Серебристый, кое-где словно подернутый облачками диск Марса заметно увеличивался. Ослепительно сверкало пятно льдов Южного полюса. Ниже его рас";0.03467773494738232
a21;"Случайное открытие

В сумерки Гусев от нечего делать пошел бродить по комнатам. Дом был велик, построен прочно – для зимнего жилья. Множество в нем бы";0.3677938921191118
a30;"Деятельность Гусева за истекший день

В десять часов утра Гусев вылетел из Тускубовой усадьбы в Соацеру, имея на борту лодки авиационную карту, оружие";0.665230387085957
a18;"Туманный шарик

За утренней едой Гусев сказал:
– Мстислав Сергеевич, ведь это выходит не дело. Летели черт знает в какую даль, и пожалуйте, – сиди в з";0.4455122072234989
a14;"По ту сторону зубчатых гор

Корабль летел невысоко над Марсом в северо-западном направлении. Лось и лысый марсианин остались на палубе. Гусев сошел вн";0.08422665056999182
a20;"Первый рассказ Аэлиты

– Тума, то есть Марс, двадцать тысячелетий тому назад был населен Аолами – оранжевой расой. Дикие племена Аолов – охотники и по";0.0031213862029885347
a40;"Преодолевая ветер, Лось побежал по набережной. И снова остановился, закрутился в снежных облаках и, так же как тогда – в тьме вселенной, – крикнул:
– ";0.19280116683086815
a17;"Отдых

Гостей отвели в светлые, маленькие, почти пустые комнаты, выходившие узкими окнами в парк. Стены столовой и спален были обтянуты белыми циновка";0.09206254193920715
a19;"На лестнице

Прошло семь дней.
Когда впоследствии Лось вспоминал это время, – оно представлялось ему синим сумраком, удивительным покоем, где наяву пр";0.025098815194253964
a25;"Тускуб

Город был охвачен тревогой. Бормотали, мигали зеркальные телефоны. На улицах, на площадях, в парках шептались кучки марсиан. Ждали событий, по";0.45354231152167085
a4;"Бессонная ночь

Все было готово к отлету с Земли. Но два последующих дня пришлось, почти без сна, провозиться над укладкой внутри аппарата – в полых п";0.16416576561036403
