name;short_text;prob2_0
s12_38;Утро застало концессионеров на виду Чебоксар. Остап дремал у руля. Ипполит Матвеевич сонно водил веслами по воде. От холодной ночи обоих подирала цыга;9.95180277050626e-06
s12_36;"Изгнание из рая
Между тем как одни герои романа были убеждены в том, что время терпит, а другие полагали, что время не ждет, время шло обычным своим п";1.4886336101948222e-05
s12_5;"Бойкий мальчик
На масленицу 1913 года в Старгороде произошло событие, возмутившее передовые слои местного общества.
В четверг вечером, в кафешантане «";3.276826595011435e-05
s12_6;"Продолжение предыдущей
Благотворительные базары в Старгороде отличались большой пышностью и изобретательностью, которую наперерыв проявляли дамы избра";9.976491726923252e-05
s12_39;"Вид на малахитовую лужу
Был воскресный вечер. Все было чисто и умыто. Даже Машук, поросший кустами и рощицами, казалось, был тщательно расчесан и стру";2.047842887656025e-05
s12_29;"Замечательная допровская корзинка
Старгородское отделение эфемерного «Меча и орала» вместе с молодцами из «Быстроупака» выстроилось в длиннейшую очере";3.1387219773280403e-06
s12_10;"Голубой воришка
Завхоз 2-го дома Старсобеса был застенчивый ворюга. Все существо его протестовало против краж, но не красть он не мог. Он крал, и ему ";6.963080941449772e-06
s12_15;"Дышите глубже, вы взволнованы!
В утро первого мая Виктор Михайлович Полесов, снедаемый обычной жаждой деятельности, выскочил на улицу и помчался к цен";2.7768860740065465e-07
s12_22;"От Севильи до Гренады
Позвольте, а где же отец Федор? Где стриженый священник церкви Фрола и Лавра? Он, кажется, собирался пойти на Виноградную улицу,";3.8272954452280505e-05
s12_7;"Великий комбинатор
В половине двенадцатого с северо-запада, со стороны деревни Чмаровки, в Старгород вошел молодой человек лет двадцати восьми. За ним";3.695404437493496e-05
s12_34;"Волшебная ночь на Волге
Влево от пассажирских дебаркадеров Волжского Государственного речного пароходства, под надписью «Чаль за кольцы, решетку берег";2.6747608068472393e-06
s12_33;"В театре Колумба
Ипполит Матвеевич постепенно становился подхалимом. Когда он смотрел на Остапа, глаза его приобретали голубой жандармский оттенок.
В ";1.8718885587129769e-06
s12_25;"Авессалом Владимирович Изнуренков
Для концессионеров началась страдная пора. Остап утверждал, что стулья нужно ковать, пока они горячи. Ипполит Матвее";2.837732142155399e-05
s12_4;"Муза дальних странствий
За час до прихода вечернего почтового поезда отец Федор, в коротеньком, чуть ниже колен, пальто и с плетеной корзинкой, стоял ";0.00012759792025066407
s12_24;"Людоедка Эллочка
Словарь Вильяма Шекспира, по подсчету исследователей, составляет 12.000 слов. Словарь негра из людоедского племени «Мумбо-Юмбо» соста";9.872760113200185e-06
s12_9;"Следы «Титаника»
Ипполит Матвеевич проснулся по привычке в половине восьмого, пророкотал «гут морген» и направился к отливу, находившемуся тут же в дв";0.0004114084135849943
s12_31;"Автор гаврилиады
Когда мадам Грицацуева покидала негостеприимный стан канцелярий, к Дому Народов уже стекались служащие самых скромных рангов: курьеры";1.7594978669509414e-05
s12_8;"Бриллиантовый дым
Ипполит Матвеевич снял с головы пятнистую касторовую шляпу, расчесал усы, из которых, при прикосновении гребешка, вылетела дружная с";0.00023594942333874457
s12_43;"Сокровище
В дождливый день конца октября Ипполит Матвеевич без пиджака, в лунном жилете, осыпанном мелкой серебряной звездой, хлопотал в комнате Ивано";0.00036642228189678243
s12_19;"Уважайте матрацы, граждане!
– Лиза, пойдем обедать?
– Мне не хочется. Я вчера уже обедала.
– Я тебя не понимаю.
– Не пойду я есть фальшивого зайца.
– ";4.230844828694712e-05
s12_13;"Алфавит – зеркало жизни
На второй день компаньоны убедились, что жить в дворницкой больше неудобно. Бурчал Тихон, совершенно обалдевший после того, ка";1.1337736149850608e-06
s12_18;"Общежитие имени монаха Бертольда Шварца
Ипполит Матвеевич и Остап, напирая друг на друга, стояли у открытого окна жесткого вагона и внимательно смотре";7.148425502488223e-06
s12_1;"Безенчук и нимфы
В уездном городе N было так много парикмахерских заведений и бюро похоронных процессий, что, казалось, жители города рождаются лишь з";0.0005034208163100304
s12_14;"Знойная женщина, мечта поэта
За ночь холод был съеден без остатка. Стало так тепло, что у ранних прохожих ныли ноги. Воробьи несли разный вздор. Даже ";1.181867474112044e-05
s12_16;"Союз меча и орала
Когда женщина стареет, с ней могут произойти многие неприятности – могут выпасть зубы, поседеть и поредеть волосы, развиться одышка,";1.1280364002209263e-05
s12_23;"Экзекуция
Аукционный торг открывался в пять часов. Доступ граждан для обозрения вещей начинался с четырех. Друзья явились в три и целый час рассматрив";4.151622465583899e-05
s12_12;"Слесарь, попугай и гадалка
Дом № 7 по Перелешинскому переулку не принадлежал к лучшим зданиям Старгорода. Два его этажа, построенные в забубенном стил";5.428511677729254e-05
s12_35;"Нечистая пара
Наутро первым на палубе оказался репортер Персицкий. Он успел уже принять душ и посвятить десять минут гимнастическим экзерсисам. Люди е";1.9377680305772116e-06
s12_42;"Землетрясение
– Как вы думаете, предводитель, – спросил Остап, когда концессионеры подходили к селению Сиони, – чем можно заработать в этой чахлой мес";5.008463009622141e-06
s12_40;"Зеленый мыс
Инженер Брунс сидел на каменной веранде дачи на Зеленом Мысу под большой пальмой, накрахмаленные листья которой бросали острые и узкие тен";0.00027497547710719815
s12_27;"Разговор с голым инженером
Появлению Остапа Бендера в редакции предшествовал ряд немаловажных событий.
Не застав Эрнеста Павловича днем (квартира была";4.59362909052932e-06
s12_30;"Курочка и тихоокеанский петушок
Репортер Персицкий деятельно готовился к двухсотлетнему юбилею великого математика Исаака Ньютона.
– Ньютона я беру на";1.8803383812195997e-05
s12_41;"Под облаками
Через три дня после сделки концессионеров с монтером Мечниковым театр Колумба выехал в Тифлис по железной дороге через Махачкалу и Баку. ";1.7478778610010946e-05
s12_28;"Два визита
Подобно распеленутому малютке, который, не останавливаясь ни на секунду, разжимает и сжимает восковые кулачки, двигает ножонками, вертит го";8.233271930191942e-05
s12_26;"Клуб автомобилистов
«Милостивый государь» Асокин читал новую книгу Агафона Шахова три вечера подряд. С каждой новой страницей сердце кассира наполняло";2.02275975864131e-06
s12_2;"Кончина мадам Петуховой
Клавдия Ивановна лежала на спине, подсунув одну руку под голову. Голова ее была в чепце интенсивно абрикосового цвета, который";0.0002128995455202096
s12_17;"Среди океана стульев
Статистика знает все.
Точно учтено количество пахотной земли в СССР с подразделением на чернозем, суглинок и лес. Все граждане об";5.341974924758892e-05
s12_32;"Могучая кучка или золотоискатели
Как и следовало ожидать, рассказ о Клотильде не вызвал в бараньей душе Ляписа никаких эмоций.
С криками: «Жертва гром";1.2630219681387963e-05
s12_21;"Баллотировка по-европейски
В то время как друзья вели культурно-просветительный образ жизни – посещали музеи и делали авансы дамочкам, затосковавшим п";6.301074781624539e-06
s12_37;"Междупланетный шахматный конгресс
С утра по Васюкам ходил высокий худой старик в золотом пенсне и в коротких, очень грязных, испачканных клеевыми крас";3.832914727534453e-06
s12_11;"Где ваши локоны?
В то время как Остап осматривал 2-й дом Старсобеса, Ипполит Матвеевич, выйдя из дворницкой и чувствуя холод в бритой голове, двинулся";0.0009079375276667307
s12_3;"«Зерцало грешного»
Исповедовав умирающую Клавдию Ивановну, священник церкви Фрола и Лавра, отец Федор Востриков, вышел из дома Воробьянинова в полном ";6.880328099724605e-05
s12_20;"Музей мебели
Она вытерла платочком рот и смахнула с кофточки крошки. Ей стало веселее. Она стояла перед вывеской: «Музей мебельного мастерства». Возвр";8.13934752175384e-05
