name;short_text;prob2_0
хуторок_в_степи_39;"Однажды в начале апреля Гаврик вернулся из типографии гораздо позже, чем всегда. Петя сидел в сарайчике и повторял геометрию.
– На Ленских приисках со";1.5727483524235606e-06
хуторок_в_степи_13;Вышли за волнорез и увидели его обратную сторону, обращенную в открытое море, где в брызгах и пене разбивающихся волн сновало множество рыболовов с дл;7.614153205513368e-06
хуторок_в_степи_21;Днем впереди появилось несколько высоких скалистых островков. В серебряном сиянии полуденного солнца, ослепляющем глаза, они казались воздушными силуэ;2.4752517710519984e-06
хуторок_в_степи_4;Наступил сочельник, двадцать четвертое декабря – число, имевшее для семьи Бачей особое значение. Это был день ангела покойной мамы. Каждый год в этот ;3.684142265495072e-05
хуторок_в_степи_49;В этот день Василий Петрович проснулся очень поздно. Он спал всю ночь как убитый – тяжелым сном измученного, смертельно усталого человека, без сновиде;1.6054457849271946e-05
хуторок_в_степи_34;Пятнадцатого августа начался учебный год, а за несколько дней до этого Василий Петрович отправился в училище Файга на переэкзаменовки. Он вернулся дом;1.6099643937521587e-05
хуторок_в_степи_32;Теперь, когда у Пети появилась цель, город уже не казался таким пустынным и скучным. Было воскресенье. Звонили колокола. Весело посвистывал маленький ;4.9412256437012826e-05
хуторок_в_степи_28;Петя все никак не мог забыть эту девочку. Как ни странно, он думал о ней часто, с горьким чувством разлуки и мысленно упрекал ее за то, что она внезап;0.00011174953007877809
хуторок_в_степи_1;"Ветер с моря нес дождь, рвал из рук прохожих зонтики. В улицах было по-утреннему темно. Так же темно и тягостно было на душе у Пети.
Не доходя до знак";7.521099836022806e-06
хуторок_в_степи_16;Пароход шел на юг вдоль Салоникского залива. Слева было открытое море, справа тянулись пустынные берега, на первом плане низкие, а дальше холмистые, п;4.411572404061762e-05
хуторок_в_степи_23;"– Ну, а теперь давай, – сказал Павлик, кряхтя и потирая колено.
– Что?
– Давай! – повторил Павлик и даже протянул руку. – Давай половину лиры.
– Не по";3.635957561097398e-05
хуторок_в_степи_3;Павлик, которого только что «распустили» на каникулы, расхаживал перед домом в своей слишком длинной зимней шинели, сшитой «на рост», и в новых калоша;3.422612871479436e-06
хуторок_в_степи_5;"Накануне первого учебного дня, поздно вечером, сквозь сон Петя снова услышал за дверью столовой голоса папы и тети.
– Вы этого не сделаете, не должны ";1.0553386837225381e-05
хуторок_в_степи_8;Никогда еще Петя не готовился к своим собственным урокам в гимназии так тщательно, как к этому уроку с Гавриком, где ему впервые предстояло выступить ;4.291806611154255e-05
хуторок_в_степи_33;Это был покупной, магазинный змей, имеющий форму геометрической фигуры – параллелепипеда, обтянутого по краям канареечно-желтым коленкором, с тугими р;0.0001444809166890834
хуторок_в_степи_2;– Нет, как хотите, а это ужасно! – сказала за обедом тетя. Она положила разливательную ложку и схватилась пальцами за виски. – Можно относиться к Толс;8.864475542089545e-07
хуторок_в_степи_14;Самым сильным впечатлением в первые дни путешествия – да, впрочем, и потом – был вид открытого моря. День и две ночи – между Одессой и Босфором не был;6.713951271306187e-06
хуторок_в_степи_30;За время путешествия по Швейцарии Петя и Павлик сделались опытными железнодорожными пассажирами. Они научились безошибочно определять скорость поезда ;4.067698866121505e-05
хуторок_в_степи_15;Приближался вечер, а вместе с ним в неподвижном, отяжелевшем от зноя воздухе чувствовалось томительное созревание грозы. Она ниоткуда не шла, она как ;0.00035011915106206555
хуторок_в_степи_45;Неизвестно, как бы пережил Петя следующий день в лихорадочном ожидании свидания, если бы не началась поливка сада. Петя с азартом крутил ручку цистерн;3.686924895492489e-05
хуторок_в_степи_43;Все были так подавлены, что целый день никто не мог работать. Смерть Чиновника казалась не только дурным предзнаменованием, но как бы окончательным кр;9.414390297351213e-06
хуторок_в_степи_26;И вот они сидели в плетеных креслах на открытой террасе маленького недорогого пансиона в Уши, на берегу Женевского озера, которое по-французски называ;1.965963463254008e-05
хуторок_в_степи_27;Это небольшое происшествие произвело на Петю сильное впечатление. Он снова, незаметно для себя, стал размышлять о том не совсем понятном ему явлении, ;2.4721499155705924e-05
хуторок_в_степи_9;"Все бросились к окнам, даже Петя, отшвырнувший подушку. Действительно, у ворот стояла карета Файга.
Господин Файг был одним из самых известных граждан";3.270377309241112e-05
хуторок_в_степи_52;С начала августа, в субботу, Петя и Гаврик, несколько раз обойдя степью вокруг хуторка и не заметив ничего подозрительного, вышли к обрывам, легли в п;2.6709477686976656e-05
хуторок_в_степи_50;В течение пяти дней в неделю жизнь на хуторке ничем не отличалась от старой. По-прежнему семейство Бачей «в поте лица своего» трудилось в саду, окапыв;4.032426173456837e-06
хуторок_в_степи_37;В конце марта тете наконец удалось довольно выгодно передать квартиру. Теперь нужно было спешно вывозить куда-нибудь обстановку и переезжать. Посовето;7.679151425379443e-06
хуторок_в_степи_42;Чиновник, которого из экономии кормили не овсом, а травой, заболел сильнейшим поносом и уже четвертый день лежал с раздутым животом на своей подстилке;3.1742897972457746e-05
хуторок_в_степи_54;Значит, они уезжают. Но Петя не успокоился до тех пор, пока собственными глазами не увидел, как они все влезли в вагон трамвая и уехали. Петя отправил;7.962531770340514e-05
