name;short_text;prob2_0
mm_27;"Когда Маргарита дошла до последних слов главы «…Так встретил рассвет пятнадцатого нисана пятый прокуратор Иудеи Понтий Пилат», – наступило утро.
Слышн";3.1592123982519568e-06
mm_24;В спальне Воланда все оказалось, как было до бала. Воланд в сорочке сидел на постели, и только Гелла не растирала ему ногу, а на столе, там, где раньш;2.938021607638214e-05
mm_11;"Бор на противоположном берегу реки, еще час назад освещенный майским солнцем, помутнел, размазался и растворился.
Вода сплошной пеленой валила за окно";0.0018393492880262679
mm_5;Старинный двухэтажный дом кремового цвета помещался на бульварном кольце в глубине чахлого сада, отделенного от тротуара кольца резною чугунною решетк;2.480370638522608e-06
mm_6;Когда в приемную знаменитой психиатрической клиники, недавно отстроенной под Москвой на берегу реки, вошел человек с острой бородкой и облаченный в бе;2.0766671546295735e-05
mm_3;"– Да, было около десяти часов утра, досточтимый Иван Николаевич, – сказал профессор.
Поэт провел рукою по лицу, как человек, только что очнувшийся, и ";8.807470994998653e-05
mm_21;Невидима и свободна! Невидима и свободна! Пролетев по своему переулку, Маргарита попала в другой, пересекавший первый под прямым углом. Этот заплатанн;0.0004995023084135029
mm_23;Полночь приближалась, пришлось спешить. Маргарита смутно видела что-нибудь. Запомнились свечи и самоцветный какой-то бассейн. Когда Маргарита стала на;5.368136201296639e-05
mm_4;Утихли истерические женские крики, отсверлили свистки милиции, две санитарные машины увезли: одна – обезглавленное тело и отрезанную голову в морг, др;5.524592693202801e-05
mm_20;Луна в вечернем чистом небе висела полная, видная сквозь ветви клена. Липы и акации разрисовали землю в саду сложным узором пятен. Трехстворчатое окно;0.0020533363255886105
mm_25;Тьма, пришедшая со Средиземного моря, накрыла ненавидимый прокуратором город. Исчезли висячие мосты, соединяющие храм со страшной Антониевой башней, о;5.3039474672781846e-05
mm_10;В то время, как случилось несчастье с Никанором Ивановичем, недалеко от дома № 302-бис, на той же Садовой, в кабинете финансового директора Варьете Ри;5.1156612545447785e-05
mm_14;Не выдержали нервы, как говорится, и Римский не дождался окончания составления протокола и бежал в свой кабинет. Он сидел за столом и воспаленными гла;3.0037693937409994e-05
mm_13;"Итак, неизвестный погрозил Ивану пальцем и прошептал: «Тсс!»
Иван опустил ноги с постели и всмотрелся. С балкона осторожно заглядывал в комнату бритый";2.91051978451871e-05
mm_28;Были ли эти силуэты или они только померещились пораженным страхом жильцам злосчастного дома на Садовой, конечно, с точностью сказать нельзя. Если они;7.48943764618265e-07
mm_2;В белом плаще с кровавым подбоем, шаркающей кавалерийской походкой, ранним утром четырнадцатого числа весеннего месяца нисана в крытую колоннаду между;2.347461861953032e-05
mm_1;Однажды весною, в час небывало жаркого заката, в Москве, на Патриарших прудах, появились два гражданина. Первый из них, одетый в летнюю серенькую пару;5.002322718255938e-05
mm_16;"Солнце уже снижалось над Лысой Горой, и была эта гора оцеплена двойным оцеплением.
Та кавалерийская ала, что перерезала прокуратору путь около полудня";0.00023789804992846545
mm_12;Маленький человек в дырявом желтом котелке и с грушевидным малиновым носом, в клетчатых брюках и лакированных ботинках выехал на сцену Варьете на обык;6.32870520907009e-07
mm_9;Никанор Иванович Босой, председатель жилищного товарищества дома № 302-бис по садовой улице в Москве, где проживал покойный Берлиоз, находился в страш;0.0016561589308772332
mm_32;Боги, боги мои! Как грустна вечерняя земля! Как таинственны туманы над болотами. Кто блуждал в этих туманах, кто много страдал перед смертью, кто лете;0.0021476289811618067
mm_19;"За мной, читатель! Кто сказал тебе, что нет на свете настоящей, верной, вечной любви? Да отрежут лгуну его гнусный язык!
За мной, мой читатель, и толь";0.002510258924208433
mm_8;Как раз в то время, когда сознание покинуло Степу в Ялте, то есть около половины двенадцатого дня, оно вернулось к Ивану Николаевичу Бездомному, просн;5.285408092406877e-05
mm_18;В то самое время, как старательный бухгалтер несся в таксомоторе, чтобы нарваться на самопишущий костюм, из плацкартного мягкого вагона № 9 киевского ;1.0921205930012447e-05
mm_22;Ровное гудение машины, летящей высоко над землей, убаюкивало Маргариту, а лунный свет ее приятно согревал. Закрыв глаза, она отдала лицо ветру и думал;1.6478042417548085e-05
mm_15;"Нетрудно догадаться, что толстяк с багровой физиономией, которого поместили в клинике в комнате № 119, был Никанор Иванович Босой.
Попал он, однако, к";0.0002491696720138671
mm_17;Утром в пятницу, то есть на другой день после проклятого сеанса, весь наличный состав служащих Варьете – бухгалтер Василий Степанович Ласточкин, два с;3.836440504902555e-06
mm_33;Но все-таки, что же было дальше-то в Москве после того, как в субботний вечер на закате Воланд покинул столицу, исчезнув вместе со своей свитой с Воро;4.336864961707767e-05
mm_31;Грозу унесло без следа, и, аркой перекинувшись через всю Москву, стояла в небе разноцветная радуга, пила воду из Москвы-реки. На высоте, на холме, меж;0.0005991325822676864
mm_7;Если бы в следующее утро Степе Лиходееву сказали бы так: «Степа! Тебя расстреляют, если ты сию минуту не встанешь!» – Степа ответил бы томным, чуть сл;0.00020472404864412206
mm_30;– Ты знаешь, – говорила Маргарита, – как раз когда ты заснул вчера ночью, я читала про тьму, которая пришла со средиземного моря… И эти идолы, ах, зол;0.0007571375028807083
mm_29;На закате солнца высоко над городом на каменной террасе одного из самых красивых зданий в Москве, здания, построенного около полутораста лет назад, на;0.0011081388645318995
mm_26;Может быть, эти сумерки и были причиною того, что внешность прокуратора резко изменилась. Он как будто на глазах постарел, сгорбился и, кроме того, ст;1.5876890138052882e-05
