name;short_text;prob2_0
mm_27;"Конец квартиры № 50

Когда Маргарита дошла до последних слов главы «…Так встретил рассвет пятнадцатого нисана пятый прокуратор Иудеи Понтий Пилат», – ";0.00011502312406167613
mm_24;"Извлечение мастера

В спальне Воланда все оказалось, как было до бала. Воланд в сорочке сидел на постели, и только Гелла не растирала ему ногу, а на с";0.00015701872397639916
mm_11;"Раздвоение Ивана

Бор на противоположном берегу реки, еще час назад освещенный майским солнцем, помутнел, размазался и растворился.
Вода сплошной пеле";0.00026609302500694824
mm_5;"Было дело в Грибоедове

Старинный двухэтажный дом кремового цвета помещался на бульварном кольце в глубине чахлого сада, отделенного от тротуара кольц";0.00012570416416829476
mm_6;"Шизофрения, как и было сказано

Когда в приемную знаменитой психиатрической клиники, недавно отстроенной под Москвой на берегу реки, вошел человек с о";0.00017829524598872014
mm_3;"Седьмое доказательство

– Да, было около десяти часов утра, досточтимый Иван Николаевич, – сказал профессор.
Поэт провел рукою по лицу, как человек, т";0.00020192447333365816
mm_21;"Полет

Невидима и свободна! Невидима и свободна! Пролетев по своему переулку, Маргарита попала в другой, пересекавший первый под прямым углом. Этот за";0.0003529172657451231
mm_23;"Великий бал у сатаны

Полночь приближалась, пришлось спешить. Маргарита смутно видела что-нибудь. Запомнились свечи и самоцветный какой-то бассейн. Ко";0.0002514948809791411
mm_4;"Погоня

Утихли истерические женские крики, отсверлили свистки милиции, две санитарные машины увезли: одна – обезглавленное тело и отрезанную голову в ";0.0002017450760772174
mm_20;"Крем Азазелло

Луна в вечернем чистом небе висела полная, видная сквозь ветви клена. Липы и акации разрисовали землю в саду сложным узором пятен. Трех";0.0006349505799165666
mm_25;"Как прокуратор пытался спасти Иуду

Тьма, пришедшая со Средиземного моря, накрыла ненавидимый прокуратором город. Исчезли висячие мосты, соединяющие х";0.0001524389321231117
mm_10;"Вести из Ялты

В то время, как случилось несчастье с Никанором Ивановичем, недалеко от дома № 302-бис, на той же Садовой, в кабинете финансового дирек";0.00017351679137106611
mm_14;"Слава петуху!

Не выдержали нервы, как говорится, и Римский не дождался окончания составления протокола и бежал в свой кабинет. Он сидел за столом и в";0.00015227752446778035
mm_13;"Явление героя

Итак, неизвестный погрозил Ивану пальцем и прошептал: «Тсс!»
Иван опустил ноги с постели и всмотрелся. С балкона осторожно заглядывал в";0.00011856967585728597
mm_28;"Последние похождения Коровьева и Бегемота

Были ли эти силуэты или они только померещились пораженным страхом жильцам злосчастного дома на Садовой, ко";0.00012420078436838004
mm_2;"Понтий Пилат

В белом плаще с кровавым подбоем, шаркающей кавалерийской походкой, ранним утром четырнадцатого числа весеннего месяца нисана в крытую к";0.000129629911555987
mm_1;"Никогда не разговаривайте с неизвестными

Однажды весною, в час небывало жаркого заката, в Москве, на Патриарших прудах, появились два гражданина. Пер";0.000141080573248112
mm_16;"Казнь

Солнце уже снижалось над Лысой Горой, и была эта гора оцеплена двойным оцеплением.
Та кавалерийская ала, что перерезала прокуратору путь около ";0.0001614747252291138
mm_12;"Черная магия и ее разоблачение

Маленький человек в дырявом желтом котелке и с грушевидным малиновым носом, в клетчатых брюках и лакированных ботинках";0.00012138268630603785
mm_9;"Коровьевские штуки

Никанор Иванович Босой, председатель жилищного товарищества дома № 302-бис по садовой улице в Москве, где проживал покойный Берлио";0.00038626114671293514
mm_32;"Прощение и вечный приют

Боги, боги мои! Как грустна вечерняя земля! Как таинственны туманы над болотами. Кто блуждал в этих туманах, кто много страда";0.00011548527503792262
mm_19;"Маргарита

За мной, читатель! Кто сказал тебе, что нет на свете настоящей, верной, вечной любви? Да отрежут лгуну его гнусный язык!
За мной, мой читат";0.00037315954421304634
mm_8;"Поединок между профессором и поэтом

Как раз в то время, когда сознание покинуло Степу в Ялте, то есть около половины двенадцатого дня, оно вернулось ";0.00015240375713426835
mm_18;"Неудачливые визитеры

В то самое время, как старательный бухгалтер несся в таксомоторе, чтобы нарваться на самопишущий костюм, из плацкартного мягкого";0.00014643933901727194
mm_22;"При свечах

Ровное гудение машины, летящей высоко над землей, убаюкивало Маргариту, а лунный свет ее приятно согревал. Закрыв глаза, она отдала лицо в";0.00016866258111836513
mm_15;"Сон Никанора Ивановича

Нетрудно догадаться, что толстяк с багровой физиономией, которого поместили в клинике в комнате № 119, был Никанор Иванович Бо";0.00018239447187695665
mm_17;"Беспокойный день

Утром в пятницу, то есть на другой день после проклятого сеанса, весь наличный состав служащих Варьете – бухгалтер Василий Степанови";0.00013394071644951282
mm_31;"На Воробьевых горах

Грозу унесло без следа, и, аркой перекинувшись через всю Москву, стояла в небе разноцветная радуга, пила воду из Москвы-реки. На ";0.0006110265808473601
mm_7;"Нехорошая квартирка

Если бы в следующее утро Степе Лиходееву сказали бы так: «Степа! Тебя расстреляют, если ты сию минуту не встанешь!» – Степа ответ";0.00030840127756983645
mm_30;"Пора! Пора!

– Ты знаешь, – говорила Маргарита, – как раз когда ты заснул вчера ночью, я читала про тьму, которая пришла со средиземного моря… И эти и";0.000230110450969091
mm_29;"Судьба мастера и Маргариты определена

На закате солнца высоко над городом на каменной террасе одного из самых красивых зданий в Москве, здания, постр";0.00025431066921348936
mm_26;"Погребение

Может быть, эти сумерки и были причиною того, что внешность прокуратора резко изменилась. Он как будто на глазах постарел, сгорбился и, кр";0.00011872756228072769
