name;short_text;prob2_0
Tihiy_Don_145;Кошевой, задумчиво похлопывая плеткой по голенищу, уронив голову, медленно всходил по порожкам моховского дома. Около дверей в коридоре, прямо на полу;0.000227089474566284
Tihiy_Don_111;Полая вода только что начала сбывать. На лугу, около огородных плетней, оголилась бурая, илистая земля, каймой лежал наплав: оставшиеся от разлива обл;7.274472951479384e-06
Tihiy_Don_124;15 мая атаман Всевеликого войска Донского Краснов, сопутствуемый председателем совета управляющих, управляющим отделом иностранных дел генерал-майором;4.9311185589408095e-06
Tihiy_Don_130;Цепь дней. Звено, вкованное в звено. Переходы, бои, отдых. Жара. Дождь. Смежные запахи конского пота и нагретой кожи седла. В жилах от постоянного нап;5.3502545915610056e-06
Tihiy_Don_198;Удивительно, как изменилась жизнь в семье Мелеховых! Совсем недавно Пантелей Прокофьевич чувствовал себя в доме полновластным хозяином, все домашние е;4.051164836139194e-06
Tihiy_Don_167;По хутору Бахмуткину гасли последние огни. Легкий морозец тончайшей пленкой льда крыл лужицы. Где-то за хутором, за толокой, на прошлогодней стерне оп;2.3745267602170462e-06
Tihiy_Don_1;В предпоследнюю турецкую кампанию вернулся в хутор казак Мелехов Прокофий. Из Туретчины привел он жену - маленькую, закутанную в шаль женщину. Она пря;0.00016208144731133672
Tihiy_Don_85;Кинутые на Петроград части 3-го конного корпуса и Туземной дивизии эшелонировались на огромном протяжении восьми железных дорог: Ревель, Везенберг, На;2.4444389224369283e-07
Tihiy_Don_53;Из этого после сделали подвиг. Крючков, любимец командира сотни, по его реляции получил Георгия. Товарищи его остались в тени. Героя отослали в штаб д;0.006217713156099682
Tihiy_Don_97;"С крыш падали пожелтевшие от соломы сосульки, разбивались со стеклянным звоном. В хуторе лужинами и проталинами цвела оттепель; по улицам, принюхиваяс";2.263564420522481e-06
Tihiy_Don_57;Операция по захвату города началась рано утром. Пехотные части, имея на флангах и в резерве кавалерию, должны были повести наступление от леса с рассв;0.0003273319543110813
Tihiy_Don_52;В местечке Торжок полк разбили по сотням. Шестая сотня, на основании приказа штаба дивизии, была послана в распоряжение Третьего армейского пехотного ;0.00013583088689958007
Tihiy_Don_59;"Дивизия получила задание форсировать реку Стырь и около Ловишчей выйти противнику в тыл.
Листницкий за несколько дней сжился с офицерским составом пол";0.00017364460936922102
Tihiy_Don_40;"Григорий вернулся из Миллерова, куда отвозил Евгения, в вербное воскресенье. Оттепель съела снег; дорога испортилась в каких-нибудь два дня.
В Ольхово";0.0007358756262650787
Tihiy_Don_193;Темны июньские ночи на Дону. На аспидно-черном небе в томительном безмолвии вспыхивают золотые зарницы, падают звезды, отражаясь в текучей быстрине До;6.386944023913689e-06
Tihiy_Don_113;В Каргинскую приехали перед вечером. В станице уже не было фронтовиков - ушли на Мигулинскую. Петро, спешив свой отряд на площади, возле магазина купц;1.2651697214168862e-05
Tihiy_Don_223;Григорию тяжело было встречаться с Кошевым. Отношения их определились с первого дня, и разговаривать им было больше не о чем, да и не к чему. По всей ;3.141838527759633e-05
Tihiy_Don_171;"На другой день, перед отъездом Григорий коротко объяснился с Натальей. Она отозвала его в сторону, шепотом спросила:
- Куда ночью ходил? Откель это та";2.3836059158482465e-05
Tihiy_Don_87;В последних числах октября, рано утром, есаул Листницкий получил распоряжение от командира полка - с сотней в пешем строю явиться на Дворцовую площадь;9.970424655524594e-05
Tihiy_Don_179;22 мая началось отступление повстанческих войск по всему правобережью. Части отходили с боем, задерживаясь на каждом рубеже. Население хуторов степной;1.3214980914652636e-05
Tihiy_Don_92;Новочеркасск стал центром притяжения для всех бежавших от большевистской революции. Стекались в низовья Дона большие генералы, бывшие вершители судеб ;0.00042080438917772243
Tihiy_Don_103;Наутро Григорий проснулся позже всех. Разбудило его громкое, как весной, чулюканье воробьев под застрехами крыши и за наличниками окон. В щелях ставне;5.275541779037522e-05
Tihiy_Don_46;Где-то позади, в сером слизистом тумане осталась длинная дорога от Маньково-Калитвенской слободы до местечка Радзивиллово. Пытался Григорий вспомнить ;3.219423078832289e-05
Tihiy_Don_95;25 ноября в полдень к Ростову были стянуты из Новочеркасска войска Каледина. Началось наступление. Вдоль линии железной дороги, по обе стороны насыпи,;4.8057852408467295e-05
Tihiy_Don_70;"На другой день утром смущенный вахмистр вошел в землянку Листницкого; помявшись, сообщил:
- Нынче утром казаки, ваше благородие, нашли в окопах вот эт";3.0376544104070266e-05
Tihiy_Don_209;Две с половиной недели Пантелей Прокофьевич благополучно прожил с семьей в хуторе Латышевом и, как только услышал, что красные отступили от Дона, собр;1.539053073387548e-05
Tihiy_Don_137;В полдень через хутор спешным маршем прошел 6-й Мценский краснознаменный полк, захватив кое у кого из казаков строевых лошадей. За бугром далеко погро;3.64967847173422e-05
Tihiy_Don_210;Через месяц Григорий выздоровел. Впервые поднялся он с постели в двадцатых числах ноября и - высокий, худой, как скелет, - неуверенно прошелся по комн;3.15820284297379e-06
Tihiy_Don_191;Тотчас же, как только в Вешенской стало известно о спешном отступлении красных частей, Григорий Мелехов с двумя конными полками вплавь переправился че;0.00012409651565547792
Tihiy_Don_61;Мелеховы на двенадцатый день после известия о смерти Григория получили от Петра два письма сразу. Дуняшка еще на почте прочитала их и - то неслась к д;0.0002057767930942583
Tihiy_Don_159;После бегства из Татарского Штокман, Кошевой, Иван Алексеевич и еще несколько казаков, служивших милиционерами, пристали к 4-му Заамурскому полку. Пол;5.9406157460708845e-06
Tihiy_Don_2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;9.09783188342583e-05
Tihiy_Don_66;На Юго-Западном фронте в районе Шевеля командование армии решило грандиозной кавалерийской атакой прорвать фронт противника и кинуть в тыл ему большой;1.957330652796993e-05
Tihiy_Don_173;Над хутором Сингином Вешенской станицы в апрельский полдень появился аэроплан. Привлеченные глухим рокотом мотора, детишки, бабы и старики выбежали из;0.00011944292155076656
Tihiy_Don_120;Мишка Кошевой и Валет только на вторую ночь вышли из Каргинской. Туман пенился в степи, клубился в балках, ник в падинах, лизал отроги Яров. Опушенные;0.00027578704226397633
Tihiy_Don_15;"- Петру скажи, чтобы запрягал кобылу и своего коня.
Григорий вышел на баз. Петро выкатывал из-под навеса сарая бричку.
- Батя велит запрягать кобылу и";0.00020345961180152434
Tihiy_Don_201;Несколько дней после разговора с Дарьей Наталья жила, испытывая такое ощущение, какое бывает во сне, когда тяжко давит дурной сон и нет сил очнуться. ;2.3304015238541822e-05
Tihiy_Don_6;"Возле лобастого, с желтой песчаной лысиной кургана остановились ночевать.
С запада шла туча. С черного ее крыла сочился дождь. Поили коней в пруду. На";0.003228999427173296
Tihiy_Don_176;Пленных пригнали в Татарский часов в пять дня. Уже близки были быстротечные весенние сумерки, уже сходило к закату солнце, касаясь пылающим диском кра;1.402486939645939e-05
Tihiy_Don_228;Весною, когда разливается Дон и полая вода покрывает всю луговую пойму, против хутора Рубежного остается незатопленным небольшой участок высокого лево;1.6372965295944646e-06
