book;part;head;auth;Prob_1;Prob_2;text
1;1;1;NOT Krukov;0.6226773959835729;0.37732260401642714;Мелеховский двор — на самом краю хутора. Воротца с
1;1;2;NOT Krukov;0.6491169821138978;0.35088301788610216;Редкие в пепельном рассветном небе зыбились звезды
1;1;3;NOT Krukov;0.6634334630220318;0.3365665369779682;Григорий пришел с игрищ после первых кочетов. Из с
1;1;4;Krukov;0.44296371915257193;0.5570362808474281;К вечеру собралась гроза. Над хутором стала бурая 
1;1;5;Krukov;0.44186072561143974;0.5581392743885603;До хутора Сетракова — места лагерного сбора — шест
1;1;6;NOT Krukov;0.5694405495738956;0.43055945042610444;Возле лобастого, с желтой песчаной лысиной кургана
1;1;7;NOT Krukov;0.5485899882957233;0.4514100117042767;Аксинью выдали за Степана семнадцати лет. Взяли ее
1;1;8;NOT Krukov;0.6509235943057983;0.3490764056942018;За два дня до троицы хуторские делили луг. На деле
1;1;9;NOT Krukov;0.5263574446516983;0.4736425553483017;От троицы только и осталось по хуторским дворам: с
1;1;10;NOT Krukov;0.6355136819279172;0.3644863180720827;Не лазоревым алым цветом 10, а собачьей бесилой, д
1;1;11;Krukov;0.4943096091259185;0.5056903908740815;За хутором Сетраковым в степи рядами вытянулись по
1;1;12;NOT Krukov;0.5206362382787973;0.47936376172120265;Оставалось полторы недели до прихода казаков из ла
1;1;13;NOT Krukov;0.5266195788713994;0.47338042112860057;С того дня, как приезжала баба Томилина, подурнел 
1;1;14;NOT Krukov;0.5702802635838949;0.42971973641610506;— …Тоскую по нем, родная бабунюшка. На своих глазы
1;1;15;NOT Krukov;0.6849003394380624;0.3150996605619376;— Петру скажи, чтобы запрягал кобылу и своего коня
1;1;16;NOT Krukov;0.5541488687269543;0.44585113127304565;Только после того как узнал от Томилина про Аксинь
1;1;17;NOT Krukov;0.5404450117235198;0.4595549882764802;За житом — не успели еще свозить на гумна — подошл
1;1;18;NOT Krukov;0.5945759636358405;0.4054240363641595;Коршуновы слыли первыми богачами в хуторе Татарско
1;1;19;NOT Krukov;0.5988090217292257;0.4011909782707744;В коршуновском курене предсвадебная суета. Невесте
1;1;20;Krukov;0.4823964165198267;0.5176035834801733;"Всходит остролистая зеленая пшеница, растет; через"
1;1;21;Krukov;0.4902192044988928;0.5097807955011072;За невестой в поезжанье нарядили четыре пароконные
1;1;22;Krukov;0.4771245750788973;0.5228754249211027;Отдохнувшие у Коршуновых лошади шли, добираясь до 
1;1;23;Krukov;0.39991544330132667;0.6000845566986733;Коршуновы приехали уже после того, как жениха с не
1;2;1;Krukov;0.3294815960456402;0.6705184039543598;Сергей Платонович Мохов издалека ведет свою родосл
1;2;2;Krukov;0.26922446677904444;0.7307755332209556;шла однажды в Азов по Дону государева баржа с суха
1;2;3;NOT Krukov;0.6769595200801395;0.3230404799198605;В конце августа Митька Коршунов случайно встретилс
1;2;4;Krukov;0.366730330015244;0.633269669984756;Наталья пришлась Мелеховым ко двору. Мирон Григорь
1;2;5;NOT Krukov;0.5797630502737492;0.42023694972625075;В конце октября, в воскресенье, — поехал Федот Бод
1;2;6;NOT Krukov;0.5616601933085205;0.43833980669147954;Григорий с женой выехали пахать за три дня до покр
1;2;7;NOT Krukov;0.5323895448061224;0.46761045519387756;С давних пор велось так: если по дороге на Миллеро
1;2;8;NOT Krukov;0.5407059363232017;0.45929406367679826;Зима легла не сразу. После покрова стаял выпавший 
1;2;9;NOT Krukov;0.5430435870525416;0.4569564129474583;Пантелей Прокофьевич вернулся со схода и прямо про
1;2;10;Krukov;0.43783377671044577;0.5621662232895542;Вечером у косой Лукешки в половине Штокмана собира
1;2;11;Krukov;0.2703198562414766;0.7296801437585234;На пологом песчаном левобережье, над Доном, лежит 
1;2;12;NOT Krukov;0.5188100292375639;0.4811899707624361;Чигонацкой станицы, переименованная в Вешенскую. В
1;2;13;Krukov;0.48099329715001615;0.5190067028499838;Наутро Григорий отправился к Мохову в дом. Сергей 
1;2;14;NOT Krukov;0.765172952806524;0.234827047193476;Аксинья отстряпалась рано, загребла жар, закутала 
1;2;15;NOT Krukov;0.6599384411728308;0.3400615588271691;Беда в одиночку сроду не ходит: утром, по недогляд
