book;part;head;auth;Prob_1;Prob_2;text
1;1;1;Sholokhov;0.3230460571801621;0.6769539428198379;Мелеховский двор — на самом краю хутора. Воротца с
1;1;2;Sholokhov;0.3767781757388978;0.6232218242611022;Редкие в пепельном рассветном небе зыбились звезды
1;1;3;Sholokhov;0.3598101724809878;0.6401898275190122;Григорий пришел с игрищ после первых кочетов. Из с
1;1;4;NOT Sholokhov;0.5680434579504618;0.4319565420495382;К вечеру собралась гроза. Над хутором стала бурая 
1;1;5;Sholokhov;0.4775593657134405;0.5224406342865595;До хутора Сетракова — места лагерного сбора — шест
1;1;6;Sholokhov;0.40937878635638636;0.5906212136436136;Возле лобастого, с желтой песчаной лысиной кургана
1;1;7;Sholokhov;0.48022827514101196;0.519771724858988;Аксинью выдали за Степана семнадцати лет. Взяли ее
1;1;8;Sholokhov;0.31964158420814426;0.6803584157918557;За два дня до троицы хуторские делили луг. На деле
1;1;9;Sholokhov;0.3986746795609394;0.6013253204390606;От троицы только и осталось по хуторским дворам: с
1;1;10;Sholokhov;0.4221588546891376;0.5778411453108624;Не лазоревым алым цветом 10, а собачьей бесилой, д
1;1;11;NOT Sholokhov;0.5558032233506542;0.4441967766493457;За хутором Сетраковым в степи рядами вытянулись по
1;1;12;NOT Sholokhov;0.5099451167558389;0.49005488324416113;Оставалось полторы недели до прихода казаков из ла
1;1;13;Sholokhov;0.3661396119267565;0.6338603880732435;С того дня, как приезжала баба Томилина, подурнел 
1;1;14;Sholokhov;0.40232262838435773;0.5976773716156423;— …Тоскую по нем, родная бабунюшка. На своих глазы
1;1;15;Sholokhov;0.24413982656094113;0.7558601734390589;— Петру скажи, чтобы запрягал кобылу и своего коня
1;1;16;Sholokhov;0.4393365798368529;0.5606634201631471;Только после того как узнал от Томилина про Аксинь
1;1;17;Sholokhov;0.4705102434150251;0.5294897565849749;За житом — не успели еще свозить на гумна — подошл
1;1;18;Sholokhov;0.3271950176747195;0.6728049823252805;Коршуновы слыли первыми богачами в хуторе Татарско
1;1;19;Sholokhov;0.3451692192369663;0.6548307807630337;В коршуновском курене предсвадебная суета. Невесте
1;1;20;Sholokhov;0.47442673355323617;0.5255732664467638;"Всходит остролистая зеленая пшеница, растет; через"
1;1;21;Sholokhov;0.41817312477764224;0.5818268752223578;За невестой в поезжанье нарядили четыре пароконные
1;1;22;Sholokhov;0.44506765102892576;0.5549323489710742;Отдохнувшие у Коршуновых лошади шли, добираясь до 
1;1;23;NOT Sholokhov;0.5295917379975617;0.4704082620024384;Коршуновы приехали уже после того, как жениха с не
1;2;1;NOT Sholokhov;0.5453050638029475;0.4546949361970524;Сергей Платонович Мохов издалека ведет свою родосл
1;2;2;NOT Sholokhov;0.7460247029362246;0.2539752970637754;шла однажды в Азов по Дону государева баржа с суха
1;2;3;Sholokhov;0.35092086094863484;0.6490791390513652;В конце августа Митька Коршунов случайно встретилс
1;2;4;Sholokhov;0.49155165527672073;0.5084483447232793;Наталья пришлась Мелеховым ко двору. Мирон Григорь
1;2;5;Sholokhov;0.3910869572605834;0.6089130427394166;В конце октября, в воскресенье, — поехал Федот Бод
1;2;6;Sholokhov;0.3563474919641484;0.6436525080358516;Григорий с женой выехали пахать за три дня до покр
1;2;7;Sholokhov;0.4870192395756192;0.5129807604243808;С давних пор велось так: если по дороге на Миллеро
1;2;8;Sholokhov;0.35626337419961707;0.6437366258003829;Зима легла не сразу. После покрова стаял выпавший 
1;2;9;Sholokhov;0.38202479059645766;0.6179752094035423;Пантелей Прокофьевич вернулся со схода и прямо про
1;2;10;NOT Sholokhov;0.5465192519497871;0.4534807480502129;Вечером у косой Лукешки в половине Штокмана собира
1;2;11;NOT Sholokhov;0.6668217813125822;0.3331782186874178;На пологом песчаном левобережье, над Доном, лежит 
1;2;12;Sholokhov;0.4199719546735706;0.5800280453264294;Чигонацкой станицы, переименованная в Вешенскую. В
1;2;13;NOT Sholokhov;0.5117538132509368;0.48824618674906317;Наутро Григорий отправился к Мохову в дом. Сергей 
1;2;14;Sholokhov;0.24272640187127204;0.757273598128728;Аксинья отстряпалась рано, загребла жар, закутала 
1;2;15;Sholokhov;0.23218460477799485;0.7678153952220051;Беда в одиночку сроду не ходит: утром, по недогляд
1;2;16;NOT Sholokhov;0.5551650373191059;0.4448349626808941;Сотник Евгений Листницкий служил в лейб-гвардии Ат
1;2;17;Sholokhov;0.3519462204945306;0.6480537795054694;На четвертой неделе поста сдала зима. На Дону бахр
1;2;18;NOT Sholokhov;0.540191065613396;0.459808934386604;У Штокмана стали собираться реже. Подходила весна.
1;2;19;Sholokhov;0.42370552576817544;0.5762944742318246;Григорий вернулся из Миллерова, куда отвозил Евген
1;2;20;Sholokhov;0.3172177127090319;0.6827822872909681;У соседки Коршуновых Пелагеи в ночь под субботу на
1;2;21;Sholokhov;0.3676523827957665;0.6323476172042335;Степан подошел к Григорию и, ухватившись за стремя
1;2;22;NOT Sholokhov;0.5228907518562946;0.4771092481437054;На шестом месяце, когда скрывать беременность было
1;2;23;NOT Sholokhov;0.5558004810001967;0.44419951899980326;К просторному суходолу наростом прилипло имение Ли
1;3;1;Sholokhov;0.46204557890507225;0.5379544210949277;В марте 1914 года в ростепельный веселый день приш
1;3;2;NOT Sholokhov;0.5419922248364717;0.4580077751635283;Где-то позади, в сером слизистом тумане осталась д
1;3;3;Sholokhov;0.3957871076705466;0.6042128923294534;Над степью — желтый солнечный зной. Желтой пылью д
1;3;4;Sholokhov;0.450425556173754;0.549574443826246;На площади серая густела толпа. В рядах — лошади, 
1;3;5;NOT Sholokhov;0.666553625576282;0.33344637442371805;В последних числах июня полк выступил на маневры. 
1;3;6;NOT Sholokhov;0.5476853796757424;0.4523146203242577;Казаки-второочередники с хутора Татарского и окрес
1;3;7;NOT Sholokhov;0.649521872014272;0.35047812798572797;Обычно из верховских станиц Донецкого округа — Ела
1;3;8;Sholokhov;0.47674485102472086;0.5232551489752791;В местечке Торжок полк разбили по сотням. Шестая с
1;3;9;NOT Sholokhov;0.7636432878039368;0.23635671219606327;Из этого после сделали подвиг. Крючков, любимец ко
1;3;10;NOT Sholokhov;0.6596247332438417;0.34037526675615826;Фронт еще не улегся многоверстной неподатливой гад
1;3;11;NOT Sholokhov;0.8152348919336232;0.18476510806637675;Небольшая в сафьяновом, цвета под дуб, переплете з
1;3;12;Sholokhov;0.46771208347977733;0.5322879165202227;11-я кавалерийская дивизия после занятия Лешнюва с
1;3;13;NOT Sholokhov;0.569164637034538;0.43083536296546204;Операция по захвату города началась рано утром. Пе
1;3;14;NOT Sholokhov;0.7653232246846071;0.2346767753153929;В первых числах августа сотник Евгений Листницкий 
1;3;15;NOT Sholokhov;0.7104877768603257;0.28951222313967434;Дивизия получила задание форсировать реку Стырь и 
1;3;16;NOT Sholokhov;0.5780515838417493;0.4219484161582507;Вместе со второй очередью ушла и третья. Станицы, 
1;3;17;NOT Sholokhov;0.5762776175497939;0.42372238245020605;Мелеховы на двенадцатый день после известия о смер
1;3;18;Sholokhov;0.33730648033796684;0.6626935196620332;Выметываясь из русла, разбивается жизнь на множест
1;3;19;Sholokhov;0.47251961520802666;0.5274803847919733;Война и из Ягодного повыдергала людей. Ушли Вениам
1;3;20;Sholokhov;0.48478823700364904;0.515211762996351;Ярко, до слепящей боли, вспомнилась Григорию та но
1;3;21;NOT Sholokhov;0.6346362416165021;0.3653637583834979;Вагон мягко покачивает, перестук колес убаюкивающе
1;3;22;NOT Sholokhov;0.6390577849410259;0.36094221505897406;На Юго-Западном фронте в районе Шевеля командовани
1;3;23;NOT Sholokhov;0.6339231619570802;0.36607683804291974;К глазной лечебнице доктора Снегирева примыкал мал
1;3;24;Sholokhov;0.46521898714753673;0.5347810128524633;В ночь на 4 ноября Григорий Мелехов пришел в Нижне
2;1;1;NOT Sholokhov;0.6138800333566299;0.38611996664337017;Тысяча девятьсот шестнадцатый год. Октябрь. Ночь. 
2;2;2;NOT Sholokhov;0.7614574537713711;0.2385425462286289;На другой день утром смущенный вахмистр вошел в зе
2;3;3;NOT Sholokhov;0.744639685986793;0.255360314013207;На Владимиро-Волынском и Ковельском направлениях, 
2;4;4;NOT Sholokhov;0.642132503931282;0.3578674960687181;Верст на сорок ниже по Стоходу шли бои. Две недели
2;5;5;Sholokhov;0.33819725453443283;0.6618027454655672;Сбочь хутора Татарского, по небу, изморщенному сед
2;6;6;NOT Sholokhov;0.6092738898431866;0.39072611015681336;В ноябре в обним жали морозы. Ранний перепадал сне
2;7;7;NOT Sholokhov;0.5986320871222045;0.4013679128777955;Маленькими смуглыми руками, покрытыми редким глянц
2;8;8;NOT Sholokhov;0.6862368761502997;0.31376312384970023;Первую бригаду одной из пехотных дивизий, находивш
2;9;9;NOT Sholokhov;0.5621658128690101;0.43783418713098987;Через сутки полк был уже неподалеку от фронта. На 
2;10;10;NOT Sholokhov;0.787736331897936;0.21226366810206404;По возвращении из отпуска есаул Евгений Листницкий
2;11;11;NOT Sholokhov;0.8077759700737589;0.19222402992624113;Назначение генерала Корнилова главнокомандующим Юг
2;12;12;NOT Sholokhov;0.5946303503145749;0.40536964968542505;В сотне Листницкого был казак Букановской станицы 
2;13;13;NOT Sholokhov;0.6603780108683064;0.33962198913169367;6 августа начальник штаба верховного главнокоманду
2;14;14;NOT Sholokhov;0.8232539523445432;0.17674604765545676;За день до приезда Корнилова в Москву есаул Листни
2;15;15;NOT Sholokhov;0.8016919510498152;0.19830804895018486;В версте от развалин местечка, стертого орудийным 
2;16;16;NOT Sholokhov;0.6563944771348706;0.3436055228651294;Уже 29 августа из телеграмм, получаемых от Крымова
2;17;17;NOT Sholokhov;0.7322533881155091;0.26774661188449095;Кинутые на Петроград части 3-го конного корпуса и 
2;18;18;NOT Sholokhov;0.6935253321297078;0.3064746678702922;31 августа в Петрограде застрелился вызванный туда
2;19;19;NOT Sholokhov;0.665055546074933;0.33494445392506705;В последних числах октября, рано утром, есаул Лист
2;20;20;NOT Sholokhov;0.8218942478175731;0.17810575218242686;Теплилась осень. Перепадали дожди. Над Быховом ред
2;21;21;NOT Sholokhov;0.6994085552988871;0.3005914447011128;Полк отступал вторые сутки. Медленно, с боями, но 
2;22;22;Sholokhov;0.40372059787580894;0.5962794021241911;Полая вода только что начала сбывать. На лугу, око
2;23;23;NOT Sholokhov;0.6045221020330624;0.3954778979669375;После ухода Кошевого казаки сидели некоторое время
2;24;24;NOT Sholokhov;0.5750376734539654;0.4249623265460346;В Каргинскую приехали перед вечером. В станице уже
2;25;25;Sholokhov;0.380165276558028;0.619834723441972;Номерным у Бунчука был казак с хутора Татарского М
2;26;26;NOT Sholokhov;0.6037679034964709;0.39623209650352903;Эти дни он жил, как в тифозном бреду. Ходил, делал
2;27;27;Sholokhov;0.38333111092324756;0.6166688890767524;Несколько дней экспедиция шла в глубь Донецкого ок
2;28;28;NOT Sholokhov;0.6810025016130948;0.31899749838690517;На западе густели тучи. Темнело. Где-то далеко-дал
2;29;29;NOT Sholokhov;0.5149376964820007;0.4850623035179992;В ночь эту, обрызганную молочным светом бледно-жел
2;30;30;Sholokhov;0.4330623041774897;0.5669376958225103;Отряд татарских казаков под командой хорунжего Пет
2;31;31;Sholokhov;0.39992840239840666;0.6000715976015933;Мишка Кошевой и Валет только на вторую ночь вышли 
3;1;1;NOT Sholokhov;0.6772338240009259;0.32276617599907415;"Как ты, батюшка, славный тихий Дон,
Ты кормилец на"
3;2;2;Sholokhov;0.43570267632847914;0.5642973236715209;С Дона через Украину катились красные составы ваго
3;3;3;Sholokhov;0.32108816714948907;0.6789118328505109;Неделю отдыхал Мишка, целые дни проводя в седле. С
3;4;4;NOT Sholokhov;0.9100926793932236;0.0899073206067764;15 мая атаман Всевеликого войска Донского Краснов,
3;5;5;NOT Sholokhov;0.5201978144842806;0.4798021855157194;Во время ледяного похода 60 Евгений Листницкий был
3;6;6;NOT Sholokhov;0.5267838519948346;0.4732161480051654;Вызрел ковыль. Степь на многие версты оделась колы
3;7;7;Sholokhov;0.3892803175098506;0.6107196824901494;По линии Филоново — Поворино выравнивался фронт. К
3;8;8;NOT Sholokhov;0.580877998883993;0.41912200111600695;Неподалеку от станицы Дурновской Вешенский полк в 
3;9;9;Sholokhov;0.4021355557206595;0.5978644442793405;И после, когда полк вступил в полосу непрерывных б
3;10;10;NOT Sholokhov;0.648846432841901;0.3511535671580989;Цепь дней. Звено, вкованное в звено. Переходы, бои
3;11;11;NOT Sholokhov;0.92605537402374;0.07394462597625998;В конце ноября в Новочеркасске стало известно о пр
3;12;12;NOT Sholokhov;0.6442863580935092;0.3557136419064908;Враждебность, незримой бороздой разделившая офицер
3;13;13;Sholokhov;0.3240017666722106;0.6759982333277894;Пугающие тишиной, короткие дни под исход казались 
3;14;14;NOT Sholokhov;0.7094816035153936;0.2905183964846064;В Вешенской на заборах трепыхались фоминские прика
3;15;15;Sholokhov;0.3140435331433201;0.6859564668566799;Решение не отступать вновь вернуло в глазах Пантел
3;16;16;Sholokhov;0.2745049355468967;0.7254950644531033;Далеко за Доном — время перевалило уже за обед — п
3;17;17;Sholokhov;0.4052447952270277;0.5947552047729723;В полдень через хутор спешным маршем прошел 6-й Мц
3;18;18;NOT Sholokhov;0.515038836246986;0.48496116375301407;Фронт прошел. Отгремели боевые деньки. В последний
3;19;19;Sholokhov;0.4016371084272329;0.5983628915727671;Казакует по родимой степи восточный ветер. Лога по
3;20;20;Sholokhov;0.39211248036860924;0.6078875196313908;В конце января Иван Алексеевич выехал в Вешенскую 
3;21;21;Sholokhov;0.42213447412093885;0.5778655258790611;Снег падал и таял на лету. В полдень в ярах с глух
3;22;22;Sholokhov;0.33102008875842903;0.668979911241571;Вокруг хуторского ревкома сгруппировалось нескольк
3;23;23;Sholokhov;0.3801222309457867;0.6198777690542133;Петро только что наметал скотине и вошел в курень,
3;24;24;Sholokhov;0.45352232648579505;0.546477673514205;Из глубоких затишных омутов сваливается Дон на рос
3;25;25;Sholokhov;0.4384475948325187;0.5615524051674813;Кошевой, задумчиво похлопывая плеткой по голенищу,
